,name,sector,industry,country,mktCap,fullTimeEmployees
3363.HK,error,,,,,
3366.HK,OCT (ASIA),Real Estate,Real Estate—Development,Hong Kong,1219836544,314
3368.HK,PARKSON GROUP,Consumer Cyclical,Department Stores,China,684977792,5251
3369.HK,error,,,,,
3377.HK,SINO-OCEAN GP,Real Estate,Real Estate—Development,China,13081793536,13201
3378.HK,XIAMEN PORT,Industrials,Marine Shipping,China,2998820096,7082
3380.HK,LOGAN GROUP,Real Estate,Real Estate—Development,China,68228804608,2999
3382.HK,TIANJINPORT DEV,Industrials,Marine Shipping,Hong Kong,3879539968,7600
3383.HK,AGILE GROUP,Real Estate,Real Estate—Development,China,47709671424,63275
3389.HK,HENGDELI,Consumer Cyclical,Luxury Goods,Hong Kong,1339443072,1458
3390.HK,error,,,,,
3393.HK,WASION HOLDINGS,Industrials,Electrical Equipment & Parts,Hong Kong,2569370368,3222
3395.HK,error,,,,,
3396.HK,LEGENDHOLDING,Technology,Computer Hardware,China,30018367488,84000
3398.HK,error,,,,,
3399.HK,YUEYUN TRANS,Industrials,Integrated Freight & Logistics,Hong Kong,1055799424,23391
3600.HK,MODERN DENTAL,Healthcare,Medical Instruments & Supplies,Hong Kong,3780821504,5838
3601.HK,error,,,,,
3603.HK,error,,,,,
3606.HK,FUYAO GLASS,Consumer Cyclical,Auto Parts,China,146141970432,25871
3608.HK,error,,,,,
3613.HK,TONGRENTANGCM,Healthcare,Pharmaceutical Retailers,Hong Kong,9425746944,754
3616.HK,error,,,,,
3618.HK,CQRC BANK,Financial Services,Banks—Regional,China,52312915968,15088
3623.HK,error,,,,,
3626.HK,error,,,,,
3628.HK,error,,,,,
3633.HK,ZHONGYU GAS,Utilities,Utilities—Regulated Gas,Hong Kong,17905498112,4683
3636.HK,POLY CULTURE,Communication Services,Entertainment,China,1071474560,7535
3638.HK,error,,,,,
3639.HK,YIDA CHINA,Real Estate,Real Estate—Development,China,5633054720,1848
3662.HK,error,,,,,
3663.HK,error,,,,,
3666.HK,error,,,,,
3668.HK,error,,,,,
3669.HK,YONGDA AUTO,Consumer Cyclical,Auto & Truck Dealerships,China,27805747200,16177
3678.HK,error,,,,,
3680.HK,error,,,,,
3681.HK,error,,,,,
3683.HK,error,,,,,
3686.HK,error,,,,,
3688.HK,TOP SPRING,Real Estate,Real Estate—Development,Hong Kong,1893058176,879
3689.HK,error,,,,,
3690.HK,MEITUAN-W,Consumer Cyclical,Internet Retail,China,1810558615552,69205
3692.HK,error,,,,,
3698.HK,HUISHANG BANK,Financial Services,Banks—Regional,China,35557888000,10688
3699.HK,error,,,,,
3700.HK,INKE,Communication Services,Internet Content & Information,China,4929296384,1627
3708.HK,error,,,,,
3709.HK,error,,,,,
3718.HK,error,,,,,
3728.HK,error,,,,,
3737.HK,error,,,,,
3738.HK,VOBILE GROUP,Technology,Software—Application,United States,15646138368,132
3759.HK,error,,,,,
3768.HK,error,,,,,
3773.HK,error,,,,,
3778.HK,error,,,,,
3788.HK,CHINA HANKING,Basic Materials,Other Industrial Metals & Mining,China,2881200128,1576
3789.HK,error,,,,,
3798.HK,error,,,,,
3799.HK,DALI FOODS,Consumer Defensive,Packaged Foods,China,63266742272,39216
3800.HK,GCL-POLY ENERGY,Technology,Solar,Hong Kong,49594445824,10730
3808.HK,SINOTRUK,Industrials,Farm & Heavy Construction Machinery,China,52790128640,25469
3813.HK,POU SHENG INT'L,Consumer Cyclical,Footwear & Accessories,Hong Kong,10124446720,30529
3816.HK,error,,,,,
3818.HK,CHINA DONGXIANG,Consumer Cyclical,Apparel Manufacturing,China,6003842048,327
3822.HK,error,,,,,
3828.HK,MING FAI INT'L,Consumer Defensive,Household & Personal Products,Hong Kong,521326688,4300
3830.HK,error,,,,,
3833.HK,error,,,,,
3836.HK,HARMONY AUTO,Consumer Cyclical,Auto & Truck Dealerships,China,5958867456,4206
3838.HK,CHINA STARCH,Consumer Defensive,Packaged Foods,Hong Kong,1030990400,2294
3839.HK,error,,,,,
3848.HK,error,,,,,
3860.HK,error,,,,,
3866.HK,error,,,,,
3868.HK,error,,,,,
3869.HK,error,,,,,
3877.HK,error,,,,,
3878.HK,error,,,,,
3882.HK,error,,,,,
3883.HK,error,,,,,
3886.HK,error,,,,,
3888.HK,KINGSOFT,Communication Services,Electronic Gaming & Multimedia,Hong Kong,75242192896,5775
3889.HK,error,,,,,
3893.HK,error,,,,,
3898.HK,CRRC TIMES ELEC,Industrials,Railroads,China,36439883776,8204
3899.HK,CIMC ENRIC,Energy,Oil & Gas Equipment & Services,China,13594292224,9900
3900.HK,GREENTOWN CHINA,Real Estate,Real Estate—Development,China,23345524736,8081
3903.HK,error,,,,,
3908.HK,CICC,Financial Services,Capital Markets,China,212237058048,9372
