,name,sector,industry,country,mktCap,fullTimeEmployees
ATD.A.TO,delisted,,,,,
ATD.B.TO,delisted,,,,,
ATE.TO,ANTIBE THERAPEUTICS INC,Healthcare,Biotechnology,Canada,227991088,47
ATH.TO,ATHABASCA OIL CORP,Energy,Oil & Gas E&P,Canada,254724000,140
ATP.TO,ATLANTIC POWER CORP.,Utilities,Utilities—Independent Power Producers,United States,317588640,261
ATP.DB.E.TO,error,,,,,
ATSX.TO,error,,,,,
ATZ.TO,ARITZIA INC,Consumer Cyclical,Apparel Retail,Canada,3261100800,3480
AUGB.F.TO,delisted,,,,,
AUMN.TO,GOLDEN MINERALS COMPANY,Basic Materials,Other Precious Metals & Mining,United States,137277024,192
AUP.TO,AURINIA PHARMACEUTICALS INC,Healthcare,Biotechnology,Canada,2006078720,294
AVCN.TO,AVICANNA INC,Healthcare,Drug Manufacturers—Specialty & Generic,Canada,43416972,139
AVL.TO,AVALON ADVANCED MATERIALS INC,Basic Materials,Other Industrial Metals & Mining,Canada,73198232,
AVP.TO,AVCORP INDUSTRIES INC.,Industrials,Aerospace & Defense,Canada,31290116,546
AW.UN.TO,delisted,,,,,
AX.PR.A.TO,error,,,,,
AX.PR.E.TO,error,,,,,
AX.PR.I.TO,error,,,,,
AX.UN.TO,delisted,,,,,
AXU.TO,ALEXCO RESOURCE CORP,Basic Materials,Other Precious Metals & Mining,Canada,461275776,130
AYA.TO,AYA GOLD AND SILVER INC,Basic Materials,Other Precious Metals & Mining,Canada,451768832,
AYM.TO,ATALAYA MINING PLC,Basic Materials,Copper,Cyprus,726620992,483
AZP.PR.A.TO,error,,,,,
AZP.PR.B.TO,error,,,,,
AZP.PR.C.TO,error,,,,,
AZZ.TO,AZARGA URANIUM CORP,Energy,Uranium,Canada,64796760,
BAD.TO,BADGER DAYLIGHTING LTD.,Industrials,Engineering & Construction,Canada,1499410432,1875
BAM.A.TO,delisted,,,,,
BAM.PF.A.TO,error,,,,,
BAM.PF.B.TO,error,,,,,
BAM.PF.C.TO,error,,,,,
BAM.PF.D.TO,error,,,,,
BAM.PF.E.TO,error,,,,,
BAM.PF.F.TO,error,,,,,
BAM.PF.G.TO,error,,,,,
BAM.PF.H.TO,error,,,,,
BAM.PF.I.TO,error,,,,,
BAM.PF.J.TO,error,,,,,
BAM.PR.B.TO,error,,,,,
BAM.PR.C.TO,error,,,,,
BAM.PR.E.TO,error,,,,,
BAM.PR.G.TO,error,,,,,
BAM.PR.K.TO,error,,,,,
BAM.PR.M.TO,error,,,,,
BAM.PR.N.TO,error,,,,,
BAM.PR.R.TO,error,,,,,
BAM.PR.S.TO,error,,,,,
BAM.PR.T.TO,error,,,,,
BAM.PR.X.TO,error,,,,,
BAM.PR.Z.TO,error,,,,,
BASE.TO,error,,,,,
BASE.B.TO,delisted,,,,,
BB.TO,BLACKBERRY LIMITED,Technology,Software—Infrastructure,Canada,6819123712,3647
BBD.A.TO,delisted,,,,,
BBD.B.TO,delisted,,,,,
BBD.PR.B.TO,error,,,,,
BBD.PR.C.TO,error,,,,,
BBD.PR.D.TO,error,,,,,
BBL.A.TO,delisted,,,,,
BBTV.TO,BBTV HOLDINGS INC,Communication Services,Internet Content & Information,Canada,211033488,
BBU.UN.TO,delisted,,,,,
BC.U.TO,delisted,,,,,
BC.WT.U.TO,error,,,,,
BCE.TO,BCE INC.,Communication Services,Telecom Services,Canada,51994050560,50704
BCE.PR.A.TO,error,,,,,
BCE.PR.B.TO,error,,,,,
BCE.PR.C.TO,error,,,,,
BCE.PR.D.TO,error,,,,,
BCE.PR.E.TO,error,,,,,
BCE.PR.F.TO,error,,,,,
BCE.PR.G.TO,error,,,,,
BCE.PR.H.TO,error,,,,,
BCE.PR.I.TO,error,,,,,
BCE.PR.J.TO,error,,,,,
BCE.PR.K.TO,error,,,,,
BCE.PR.L.TO,error,,,,,
BCE.PR.M.TO,error,,,,,
BCE.PR.N.TO,error,,,,,
BCE.PR.O.TO,error,,,,,
BCE.PR.Q.TO,error,,,,,
BCE.PR.R.TO,error,,,,,
BCE.PR.S.TO,error,,,,,
BCE.PR.T.TO,error,,,,,
BCE.PR.Y.TO,error,,,,,
BCE.PR.Z.TO,error,,,,,
BCI.TO,NEW LOOK VISION GROUP INC,Consumer Cyclical,Specialty Retail,Canada,778625152,
BDI.TO,BLACK DIAMOND GROUP LTD,Industrials,Rental & Leasing Services,Canada,192231920,349
BDIV.TO,error,,,,,
BDT.TO,BIRD CONSTRUCTION INC.,Industrials,Engineering & Construction,Canada,467272736,
BEI.UN.TO,delisted,,,,,
BEK.B.TO,delisted,,,,,
BEP.PR.E.TO,error,,,,,
BEP.PR.G.TO,error,,,,,
BEP.PR.I.TO,error,,,,,
BEP.PR.K.TO,error,,,,,
BEP.PR.M.TO,error,,,,,
BEP.PR.O.TO,error,,,,,
BEP.UN.TO,delisted,,,,,
BEPC.TO,BROOKFIELD RENEWABLE CORPORATIO,Utilities,Utilities—Renewable,United States,9829289984,
BESG.TO,error,,,,,
BFIN.TO,error,,,,,
BGC.TO,error,,,,,
BGI.UN.TO,delisted,,,,,
BGU.TO,error,,,,,
BGU.U.TO,delisted,,,,,
BHC.TO,BAUSCH HEALTH COMPANIES INC,Healthcare,Drug Manufacturers—Specialty & Generic,Canada,13860109312,21600
BIK.PR.A.TO,error,,,,,
BIP.PR.A.TO,error,,,,,
BIP.PR.B.TO,error,,,,,
BIP.PR.C.TO,error,,,,,
BIP.PR.D.TO,error,,,,,
BIP.PR.E.TO,error,,,,,
BIP.PR.F.TO,error,,,,,
BIP.UN.TO,delisted,,,,,
BIPC.TO,BROOKFIELD INFRASTRUCTURE CORPO,Utilities,Utilities—Regulated Gas,United States,4249349888,
BIR.TO,BIRCHCLIFF ENERGY LTD.,Energy,Oil & Gas E&P,Canada,723354112,205
BIR.PR.A.TO,error,,,,,
BIR.PR.C.TO,error,,,,,
BK.TO,CANADIAN BANC CORP,Financial Services,Asset Management,Canada,119076424,
BK.PR.A.TO,error,,,,,
BKI.TO,BLACK IRON INC,Basic Materials,Other Industrial Metals & Mining,Canada,103976000,
BKL.C.TO,delisted,,,,,
BKL.F.TO,delisted,,,,,
BKX.TO,delisted,,,,,
BL.UN.TO,delisted,,,,,
BLB.UN.TO,delisted,,,,,
BLDP.TO,BALLARD POWER SYSTEMS INC,Industrials,Specialty Industrial Machinery,Canada,8493888512,785
BLOV.TO,error,,,,,
BLU.TO,BELLUS HEALTH INC.,Healthcare,Biotechnology,Canada,369752512,32
BLX.TO,BORALEX INC.,Utilities,Utilities—Renewable,Canada,4009246208,527
BMO.TO,BANK OF MONTREAL,Financial Services,Banks—Diversified,Canada,73079472128,43360
BMO.PR.A.TO,error,,,,,
BMO.PR.B.TO,error,,,,,
BMO.PR.C.TO,error,,,,,
BMO.PR.D.TO,error,,,,,
BMO.PR.E.TO,error,,,,,
BMO.PR.F.TO,error,,,,,
BMO.PR.Q.TO,error,,,,,
BMO.PR.S.TO,error,,,,,
BMO.PR.T.TO,error,,,,,
BMO.PR.W.TO,error,,,,,
BMO.PR.Y.TO,error,,,,,
BMO.PR.Z.TO,error,,,,,
BNAU.TO,BATTLE NORTH GOLD CORP,Basic Materials,Gold,Canada,338572096,
BNC.TO,error,,,,,
BND.TO,error,,,,,
BNE.TO,BONTERRA ENERGY CORP,Energy,Oil & Gas E&P,Canada,130023848,36
BNG.TO,BENGAL ENERGY LTD.,Energy,Oil & Gas E&P,Canada,36803896,
BNK.TO,BIG BANC SPLIT CORP,Financial Services,Asset Management,Canada,46760000,
BNK.PR.A.TO,error,,,,,
BNS.TO,BANK OF NOVA SCOTIA,Financial Services,Banks—Diversified,Canada,96414023680,89808
BNS.PR.E.TO,error,,,,,
