,name,sector,industry,country,mktCap,fullTimeEmployees
AUMN.TO,GOLDEN MINERALS COMPANY,Basic Materials,Other Precious Metals & Mining,United States,145610992,192
AUP.TO,AURINIA PHARMACEUTICALS INC,Healthcare,Biotechnology,Canada,2080000256,294
AVCN.TO,error,,,,,
AVL.TO,AVALON ADVANCED MATERIALS INC,Basic Materials,Other Industrial Metals & Mining,Canada,60998524,
AVP.TO,error,,,,,
AW.UN.TO,error,,,,,
AX.PR.A.TO,error,,,,,
AX.PR.E.TO,error,,,,,
AX.PR.I.TO,error,,,,,
AX.UN.TO,error,,,,,
AXU.TO,ALEXCO RESOURCE CORP,Basic Materials,Other Precious Metals & Mining,Canada,474049568,130
AYA.TO,AYA GOLD AND SILVER INC,Basic Materials,Other Precious Metals & Mining,Canada,712078272,
AYM.TO,ATALAYA MINING PLC,Basic Materials,Copper,Cyprus,781006592,483
AZP.PR.A.TO,error,,,,,
AZP.PR.B.TO,error,,,,,
AZP.PR.C.TO,error,,,,,
AZZ.TO,AZARGA URANIUM CORP,Energy,Uranium,Canada,68335272,6
BAD.TO,BADGER DAYLIGHTING LTD.,Industrials,Engineering & Construction,Canada,1449221120,1875
BAM.A.TO,error,,,,,
BAM.PF.A.TO,error,,,,,
BAM.PF.B.TO,error,,,,,
BAM.PF.C.TO,error,,,,,
BAM.PF.D.TO,error,,,,,
BAM.PF.E.TO,error,,,,,
BAM.PF.F.TO,error,,,,,
BAM.PF.G.TO,error,,,,,
BAM.PF.H.TO,error,,,,,
BAM.PF.I.TO,error,,,,,
BAM.PF.J.TO,error,,,,,
BAM.PR.B.TO,error,,,,,
BAM.PR.C.TO,error,,,,,
BAM.PR.E.TO,error,,,,,
BAM.PR.G.TO,error,,,,,
BAM.PR.K.TO,error,,,,,
BAM.PR.M.TO,error,,,,,
BAM.PR.N.TO,error,,,,,
BAM.PR.R.TO,error,,,,,
BAM.PR.S.TO,error,,,,,
BAM.PR.T.TO,error,,,,,
BAM.PR.X.TO,error,,,,,
BAM.PR.Z.TO,error,,,,,
BASE.TO,EVOLVE GLOB MATLS MINING ENH YL,,,,,
BASE.B.TO,error,,,,,
BB.TO,BLACKBERRY LIMITED,Technology,Software—Infrastructure,Canada,6147451904,3497
BBD.A.TO,error,,,,,
BBD.B.TO,error,,,,,
BBD.PR.B.TO,error,,,,,
BBD.PR.C.TO,error,,,,,
BBD.PR.D.TO,error,,,,,
BBL.A.TO,error,,,,,
BBTV.TO,BBTV HOLDINGS INC,Communication Services,Internet Content & Information,Canada,189704544,
BBU.UN.TO,error,,,,,
BC.U.TO,error,,,,,
BC.WT.U.TO,error,,,,,
BCE.TO,BCE INC.,Communication Services,Telecom Services,Canada,52554874880,50704
BCE.PR.A.TO,error,,,,,
BCE.PR.B.TO,error,,,,,
BCE.PR.C.TO,error,,,,,
BCE.PR.D.TO,error,,,,,
BCE.PR.E.TO,error,,,,,
BCE.PR.F.TO,error,,,,,
BCE.PR.G.TO,error,,,,,
BCE.PR.H.TO,error,,,,,
BCE.PR.I.TO,error,,,,,
BCE.PR.J.TO,error,,,,,
BCE.PR.K.TO,error,,,,,
BCE.PR.L.TO,error,,,,,
BCE.PR.M.TO,error,,,,,
BCE.PR.N.TO,error,,,,,
BCE.PR.O.TO,error,,,,,
BCE.PR.Q.TO,error,,,,,
BCE.PR.R.TO,error,,,,,
BCE.PR.S.TO,error,,,,,
BCE.PR.T.TO,error,,,,,
BCE.PR.Y.TO,error,,,,,
BCE.PR.Z.TO,error,,,,,
BCI.TO,NEW LOOK VISION GROUP INC,Consumer Cyclical,Specialty Retail,Canada,777998720,
BDI.TO,BLACK DIAMOND GROUP LTD,Industrials,Rental & Leasing Services,Canada,230095792,349
BDIV.TO,BROMPTON GLOBAL DIVIDEND GROWTH,,,,,
BDT.TO,BIRD CONSTRUCTION INC.,Industrials,Engineering & Construction,Canada,480532448,
BEI.UN.TO,error,,,,,
BEK.B.TO,error,,,,,
BEP.PR.E.TO,error,,,,,
BEP.PR.G.TO,error,,,,,
BEP.PR.I.TO,error,,,,,
BEP.PR.K.TO,error,,,,,
BEP.PR.M.TO,error,,,,,
BEP.PR.O.TO,error,,,,,
BEP.UN.TO,error,,,,,
BEPC.TO,BROOKFIELD RENEWABLE CORPORATIO,Utilities,Utilities—Renewable,United States,8773692416,1885
BESG.TO,INVESCO ESG CDN CORE PLUS BOND ,,,,,
BFIN.TO,BROMPTON NA FINANCIALS DIVIDEND,,,,,
BGC.TO,BRISTOL GATE CONCENTRATED CDN E,,,,,
BGI.UN.TO,error,,,,,
BGU.TO,BRISTOL GATE CONCENTRATED US EQ,,,,,
BGU.U.TO,error,,,,,
BHC.TO,BAUSCH HEALTH COMPANIES INC,Healthcare,Drug Manufacturers—Specialty & Generic,Canada,14073505792,21600
BIK.PR.A.TO,error,,,,,
BIP.PR.A.TO,error,,,,,
BIP.PR.B.TO,error,,,,,
BIP.PR.C.TO,error,,,,,
BIP.PR.D.TO,error,,,,,
BIP.PR.E.TO,error,,,,,
BIP.PR.F.TO,error,,,,,
BIP.UN.TO,error,,,,,
BIPC.TO,BROOKFIELD INFRASTRUCTURE CORPO,Utilities,Utilities—Regulated Gas,United States,3967200256,
BIR.TO,BIRCHCLIFF ENERGY LTD.,Energy,Oil & Gas E&P,Canada,829729664,205
BIR.PR.A.TO,error,,,,,
BIR.PR.C.TO,error,,,,,
BK.TO,error,,,,,
BK.PR.A.TO,error,,,,,
BKI.TO,error,,,,,
BKL.C.TO,error,,,,,
