,name,sector,industry,country,mktCap,fullTimeEmployees
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers—General,United States,143256289280,30250
AVGO,Broadcom Inc.,Technology,Semiconductors,United States,196817911808,21000
BR,"Broadridge Financial Solutions,",Technology,Information Technology Services,United States,17768198144,12000
BF.B,,,,,,
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,Integrated Freight & Logistics,United States,12812572672,14888
COG,Cabot Oil & Gas Corporation,Energy,Oil & Gas E&P,United States,7660875776,503
CDNS,"Cadence Design Systems, Inc.",Technology,Software—Application,United States,36986376192,8800
CPB,Campbell Soup Company,Consumer Defensive,Packaged Foods,United States,15414067200,14500
COF,Capital One Financial Corporati,Financial Services,Credit Services,United States,59174682624,51985
CAH,"Cardinal Health, Inc.",Healthcare,Medical Distribution,United States,18166302720,48000
KMX,CarMax Inc,Consumer Cyclical,Auto & Truck Dealerships,United States,21749610496,25000
CCL,Carnival Corporation,Consumer Cyclical,Travel Services,United States,30145427456,70000
CARR,Carrier Global Corporation,Industrials,Building Products & Equipment,United States,35718877184,56000
CAT,"Caterpillar, Inc.",Industrials,Farm & Heavy Construction Machinery,United States,125147267072,97300
CBOE,"Cboe Global Markets, Inc.",Financial Services,Financial Data & Stock Exchanges,United States,10476561408,1010
CBRE,CBRE Group Inc,Real Estate,Real Estate Services,United States,26542364672,100000
CDW,CDW Corporation,Technology,Information Technology Services,United States,23672389632,10000
CE,Celanese Corporation Celanese C,Basic Materials,Chemicals,United States,17433380864,7658
CNC,Centene Corporation,Healthcare,Healthcare Plans,United States,37722124288,71300
CNP,"CenterPoint Energy, Inc (Holdin",Utilities,Utilities—Regulated Electric,United States,12118234112,9541
CTL,,,,,,
CERN,Cerner Corporation,Healthcare,Health Information Services,United States,22184876032,26400
CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,United States,9907959808,2970
SCHW,Charles Schwab Corporation (The,Financial Services,Capital Markets,United States,123688558592,32000
