,name,sector,industry,country,mktCap,fullTimeEmployees
AC8.AX,AUSCANN FPO,Healthcare,Drug Manufacturers—Specialty & Generic,Australia,45971816,
AGD.AX,AUST GOLD FPO,Basic Materials,Other Precious Metals & Mining,Australia,108278648,
AAC.AX,AUST AG CO FPO,Consumer Defensive,Farm Products,Australia,702223488,423
AAP.AX,AUSAGRIPRO FPO,Consumer Defensive,Farm Products,Australia,8227359,
ABX.AX,AUSBAUXITE FPO,Basic Materials,Aluminum,Australia,15030400,
AHF.AX,AUSDAIRY STAPLED,Consumer Defensive,Packaged Foods,Australia,25586596,
AEF.AX,A ETHICAL FPO,Financial Services,Asset Management,Australia,791204480,
AFG.AX,AUSTRA FIN FPO,Financial Services,Mortgage Finance,Australia,687057920,204
AFI.AX,AUS.FOUND. FPO,Financial Services,Asset Management,Australia,9058632704,
AGM.AX,error,,,,,
ABA.AX,AUSWIDE FPO,Financial Services,Banks—Regional,Australia,286795104,
AEV.AX,AVENIRA FPO,Basic Materials,Other Industrial Metals & Mining,Australia,6902824,
A200.AX,error,,,,,
AGVT.AX,error,,,,,
AAA.AX,error,,,,,
ACDC.AX,error,,,,,
4CE.AX,FORCECOM FPO,Basic Materials,Other Industrial Metals & Mining,Australia,18340198,
360.AX,LIFE360 CDI FORUS,Technology,Software—Application,United States,759011968,
1AL.AX,delisted,,,,,
3DP.AX,POINTERRA FPO,Technology,Software—Application,Australia,415262144,
A2M.AX,A2 MILK FPO NZ,Consumer Defensive,Farm Products,New Zealand,5970560000,319
2BE.AX,TUBI FPO,Industrials,Specialty Industrial Machinery,Australia,15876657,
AIB.AX,AURORA GLB UNITS,Financial Services,Asset Management,Australia,689712,
AIQ.AX,A INV TRST UNITS,Financial,Asset Management,United Kingdom,14283575,
AIR.AX,ASTIVITA FPO,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Australia,16166490,
AIS.AX,AERISRES FPO,Basic Materials,Other Industrial Metals & Mining,Australia,199187104,
AIV.AX,ACTIVEX FPO,Basic Materials,Other Industrial Metals & Mining,Australia,30998274,
