,name,sector,industry,country,mktCap,fullTimeEmployees
KV4.SI,error,,,,,
KZBW.SI,error,,,,,
L02.SI,Manhattan Res^,Industrials,Marine Shipping,Singapore,143352000,
L03.SI,Lian Beng,Industrials,Engineering & Construction,Singapore,252342944,
L09.SI,Lung Kee Bermuda,Industrials,Metal Fabrication,Hong Kong,304412000,3600
L19.SI,Lum Chang,Industrials,Engineering & Construction,Singapore,154442080,
L23.SI,Enviro-Hub,Industrials,Waste Management,Singapore,89315992,
L38.SI,AF Global,Consumer Cyclical,Lodging,Singapore,69672240,
L46.SI,delisted,,,,,
L5I.SI,error,,,,,
LCKW.SI,delisted,,,,,
LG9.SI,error,,,,,
LIW.SI,Eagle HTrust USD,Real Estate,REIT—Hotel & Motel,Singapore,119566744,
LJ3.SI,OUE,Real Estate,Real Estate—Diversified,Singapore,1076970880,
LLTW.SI,error,,,,,
LQFW.SI,error,,,,,
LS9.SI,Leader Env,Industrials,Pollution & Treatment Controls,China,197720016,
LSCW.SI,error,,,,,
LSHS.SI,delisted,,,,,
LUY.SI,Raffles Infrastructure^,Industrials,Infrastructure Operations,Singapore,26161366,8
LWYW.SI,error,,,,,
M01.SI,Metro,Consumer Cyclical,Department Stores,Singapore,658288640,
M03.SI,$ Miyoshi,Industrials,Metal Fabrication,Singapore,21070422,
M04.SI,Man Oriental USD,Consumer Cyclical,Lodging,Hong Kong,2261163776,
M05.SI,MTQ,Energy,Oil & Gas Equipment & Services,Singapore,46471392,736
M11.SI,MFG Integration,Technology,Semiconductor Equipment & Materials,Singapore,15607279,
M14.SI,InnoTek,Industrials,Metal Fabrication,Singapore,170087216,
M15.SI,$ Matex Intl,Basic Materials,Specialty Chemicals,Singapore,10597732,
M1GU.SI,Sabana Reit,Real Estate,REIT—Industrial,Singapore,410701184,
M1Z.SI,TEE Intl,Industrials,Engineering & Construction,Singapore,24581514,764
M30.SI,Meghmani SDS,Basic Materials,Agricultural Inputs,India,538879488,1665
M44U.SI,Mapletree Log Tr,Real Estate,REIT—Industrial,Singapore,8266594816,
M62.SI,error,,,,,
MADW.SI,error,,,,,
MBH.SI,error,,,,,
ME8U.SI,Mapletree Ind Tr,Real Estate,REIT—Industrial,Singapore,6442178560,193
MF6.SI,Mun Siong Engg,Industrials,Engineering & Construction,Singapore,24945334,
MHVW.SI,error,,,,,
MHXW.SI,error,,,,,
MIJ.SI,$ Alliance HC,Healthcare,Medical Care Facilities,Singapore,36588288,201
MKSW.SI,error,,,,,
MMS.SI,error,,,,,
MMT.SI,error,,,,,
MR7.SI,Nordic,Industrials,Engineering & Construction,Singapore,101449656,
MSWW.SI,error,,,,,
MT1.SI,error,,,,,
MU7.SI,DBS Bk 4.7% NCPS#,,,Singapore,268213813248,
MV4.SI,Mewah Intl,Consumer Defensive,Farm Products,Singapore,600267968,
MXNU.SI,EliteComREIT GBP,Real Estate,REIT—Office,Singapore,314565664,
MXTW.SI,error,,,,,
MZH.SI,Nanofilm,Technology,Electronic Components,Singapore,3248583424,
N01.SI,NeraTel,Technology,Communication Equipment,Singapore,68398528,
N02.SI,NSL,Basic Materials,Building Materials,Singapore,343673376,
N08.SI,New Toyo,Consumer Cyclical,Packaging & Containers,Singapore,80414776,
N0Z.SI,Combine Will,Consumer Cyclical,Leisure,China,27155016,10000
N14.SI,error,,,,,
N2H.SI,error,,,,,
