Date,14D.AX,1ST.AX,3PL.AX,4DS.AX,5GN.AX,88E.AX,8CO.AX,8IH.AX,8EC.AX,8VI.AX,9SP.AX,ACB.AX,A2B.AX,ABP.AX,ABL.AX,AEG.AX,ABT.AX,ACS.AX,ACQ.AX,ACF.AX,ACR.AX,ACW.AX,ACU.AX,AD1.AX,ADA.AX,ADH.AX,1AD.AX,ADD.AX,ABC.AX,ADR.AX,AHZ.AX,ADY.AX,ADT.AX,ADJ.AX,ABV.AX,ADX.AX,AER.AX,AEI.AX,AFL.AX,AEB.AX,AFR.AX,A1G.AX,AFT.AX,AFP.AX,AGL.AX,AGJ.AX,AGR.AX,AHL.AX,A1M.AX,AGI.AX,A40.AX,AHQ.AX,AGS.AX,AGE.AX,A4N.AX,1AG.AX,AGH.AX,3DA.AX,ABR.AX,ADN.AX,AAR.AX,AGG.AX,ADO.AX,AGX1.AX,AHX.AX,ADI.AX,ADV.AX,AGY.AX,AHK.AX,AAJ.AX,AHY.AX,AFA.AX,AHN.AX,AIA.AX,ACP.AX,AD8.AX,AEE.AX,ABW.AX,A3D.AX,AC8.AX,AGD.AX,AAC.AX,AAP.AX,ABX.AX,AHF.AX,AEF.AX,AFG.AX,AFI.AX,AGM.AX,ABA.AX,AEV.AX,A200.AX,AGVT.AX,AAA.AX,ACDC.AX,4CE.AX,360.AX,1AL.AX,3DP.AX,A2M.AX
2020-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-25,0.06666666666666665,0.0,0.0,0.0,-0.02127659574468077,,-0.11111111111111105,0.0,0.0,0.0,0.0,0.0,-0.06382978723404253,0.014925373134328401,,0.0,,0.0,0.025000000000000133,0.06060606060606055,0.0588235294117645,0.0,-0.07142857142857151,0.0,0.028169014084507005,-0.01449275362318847,0.09999999999999987,0.0,-0.004166666666666541,0.0,,0.0,0.008510638297872353,,0.0,0.0,0.0,0.033898305084745894,-0.033333333333333326,0.0,0.0,-0.05882352941176472,,0.010752688172043001,0.0006439150032195862,0.0,0.0,0.0,-0.02777777777777779,-0.04878048780487798,0.0,-0.11111111111111105,0.1499999999999999,0.0,0.0,0.0,-0.02631578947368418,0.0,-0.02631578947368418,0.0,0.11764705882352944,-0.008805031446540879,0.0,0.0,0.07272727272727253,-0.004048582995951455,0.0,0.0,,0.0,0.028037383177570208,0.0,,0.008237232289950658,0.0,-0.018181818181818077,,,0.0,0.0,-0.06666666666666654,0.009708737864077666,0.0,0.0,0.0,0.031175059952038398,0.022471910112359605,-0.004746835443038,0.0,0.015053763440860068,0.0,0.0029188558085231353,-0.0024799694772987824,0.0003993610223642641,0.015231788079470121,0.0,-0.04325699745547085,,0.08000000000000007,-0.024154589371980673
2020-08-26,-0.12499999999999989,0.0,0.0,0.0,0.02717391304347827,inf,0.125,-0.07692307692307698,0.0,0.016393442622950838,0.0,0.0,0.022727272727272707,-0.003676470588235392,,-0.0078125,,0.0,-0.024390243902439046,-0.08571428571428563,-0.05555555555555547,0.5,0.0,0.0,-0.0273972602739726,0.026470588235294246,-0.09090909090909083,1.0,0.0,0.0,,0.0,-0.016877637130801704,,0.0,0.0,0.0,-0.06557377049180335,0.10344827586206917,0.0,0.0,0.0,,0.010638297872340496,-0.03024453024453022,0.0,0.0,0.0,0.0,0.025641025641025772,0.0,-0.12499999999999989,-0.08695652173913049,0.0,-0.040000000000000036,0.0,0.0,0.09677419354838723,0.10810810810810811,0.0,0.0,-0.005076142131979711,0.0,0.0,-0.016949152542372947,0.0,0.0,0.0,,0.0,0.0,0.0,,-0.017973856209150374,0.0,-0.0185185185185186,,,0.0,-0.06666666666666654,-0.07142857142857151,-0.009615384615384581,0.0,0.0,0.0,0.04651162790697683,0.005494505494505475,0.004769475357710773,0.0,-0.008474576271186418,0.0,-0.00552968568102441,-0.004972270032510995,-0.0001996007984031989,-0.002772341813437773,0.0,-0.015957446808510523,,-0.07407407407407418,0.0033003300330032292
2020-08-27,0.0,0.0,0.0,0.0,0.06349206349206349,0.0,0.33333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.015748031496062964,,0.0,-0.01666666666666672,0.03125,0.0588235294117645,0.0,0.0,0.0,0.05633802816901423,0.022922636103151817,0.0,0.5,0.008368200836819994,0.0,,0.0,0.030042918454935563,,0.0,0.0,0.0,0.08771929824561409,-0.09375000000000011,0.0,0.0,0.0,,0.012631578947368327,-0.015262110152621133,0.0,0.0,0.0,-0.02857142857142847,-0.050000000000000044,0.0,0.0,0.09523809523809534,0.0,-0.04166666666666663,0.0,0.027027027027026973,0.0,0.09756097560975618,0.0,-0.052631578947368474,0.04336734693877542,0.19999999999999996,0.0,-0.0344827586206895,0.0,0.0,0.0,,0.0,0.0181818181818183,0.0,,0.009983361064891838,0.0,-0.016981132075471694,,,0.0,0.0714285714285714,0.03846153846153855,0.009708737864077666,0.0,0.09999999999999987,0.0,0.0,0.04918032786885229,-0.0015822784810127777,0.0,0.03205128205128216,0.0,0.0006828602087600721,0.0032673457620604474,0.0,0.013082583810302584,0.0,0.0729729729729729,,0.1200000000000001,-0.012061403508771829
2020-08-28,0.0,0.0,-0.007518796992481258,0.0,-0.02985074626865658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011070110701107083,,0.015503875968992276,,0.0,-0.008474576271186418,-0.030303030303030276,0.05555555555555558,0.0,0.0,0.19999999999999996,-0.026666666666666727,-0.019607843137254832,0.0,0.0,0.03734439834024883,0.25,,0.0,0.008333333333333304,,0.0,0.0,0.0,0.08064516129032273,0.06896551724137945,0.0,0.0,0.0,,0.0020790020790022457,-0.003369272237196852,0.0,0.0,0.0,0.0588235294117645,0.07894736842105265,0.0,0.0,-0.13043478260869568,0.0,0.0,0.0,0.0,0.0,0.04444444444444429,0.0,-0.05555555555555547,-0.033007334963325086,0.0,0.0,-0.0357142857142857,-0.004065040650406471,0.0,0.0,,0.0,-0.008928571428571397,0.0,,0.0032948929159801743,0.0,-0.0019193857965450478,,,0.125,0.0,-0.03703703703703709,0.0,0.0,-0.09090909090909083,-0.14285714285714302,0.06444444444444453,-0.03645833333333326,-0.0031695721077653616,0.0,0.05590062111801242,0.0,-0.007311366738155578,-0.00766283524904221,0.00019964064683564153,-0.010653753026634405,0.0,0.02518891687657443,,-0.0357142857142857,-0.030521642619311895
2020-08-31,0.0,0.3333333333333335,0.0,0.0,0.23076923076923084,0.0,0.3333333333333335,0.0,0.0,-0.016129032258064502,0.0,-0.33333333333333326,-0.011111111111111072,0.014598540145985162,,0.0,,0.0,0.017094017094017033,0.03125,-0.052631578947368474,0.0,-0.07692307692307698,-0.16666666666666663,0.08219178082191791,-0.005714285714285672,0.0,-0.33333333333333326,0.020000000000000018,-0.20000000000000007,,0.0,-0.012396694214875992,,0.0,0.0,0.0,-0.014925373134328401,0.0,0.0,0.0,0.0,,0.026970954356846377,0.0006761325219744041,0.0,0.0,0.0,0.05555555555555558,-0.07317073170731703,0.0,0.0,0.09999999999999987,0.0,-0.0434782608695653,0.0,0.0,-0.02941176470588236,0.042553191489361764,0.0,0.11764705882352944,0.03539823008849541,-0.16666666666666663,0.0,-0.05555555555555558,0.008163265306122547,0.0,0.0,,0.0,-0.009009009009009028,0.0,,0.0,0.0,0.009615384615384581,,,0.0,-0.06666666666666654,0.0769230769230771,0.0,0.0,0.09999999999999987,0.0,-0.0041753653444677186,0.0,-0.0015898251192368873,0.023809523809523725,0.027450980392156987,0.0,-9.820288716488879e-05,0.0034749034749035346,0.0,-0.001468428781204012,0.0,0.007371007371007154,,0.0,-0.02633085289066961
2020-09-01,-0.14285714285714302,-0.25,0.0,0.0,-0.07499999999999984,-1.0,-0.12499999999999989,-0.08333333333333326,0.0,-0.016393442622950838,0.0,0.0,0.011235955056179803,-0.03237410071942437,,0.022900763358778553,,0.0,-0.008403361344537785,-0.030303030303030276,0.0,0.0,0.0,0.19999999999999996,-0.06329113924050633,-0.025862068965517238,0.0,0.5,-0.015686274509803977,-0.25,,0.0,-0.10041841004184104,,0.0,0.0,0.0,-0.06060606060606066,0.0,0.0,0.0,0.0,,-0.010101010101010055,0.006756756756756799,0.0,0.0,0.0,0.05263157894736836,0.0,0.0,0.0,0.045454545454545414,0.0,0.045454545454545414,0.0,0.0,-0.09090909090909094,-0.04081632653061229,0.0,0.0,0.03785103785103794,0.0,0.0,0.0,-0.012145748987854366,0.0,0.0,,0.0,-0.018181818181818188,-0.16666666666666663,,0.0016420361247946325,0.0,0.003809523809523707,,,-0.11111111111111105,0.0714285714285714,0.0714285714285714,0.0,0.0,0.0,0.0,-0.010482180293501009,-0.016216216216216273,0.0,0.0,0.0,0.0,-0.016205067766646986,0.0003847633705271747,-0.0005988023952095967,-0.0032679738562092497,0.0,-0.024390243902438935,,0.40740740740740744,-0.02410346854791301
2020-09-02,0.16666666666666674,0.0,0.0,0.0,-0.013513513513513598,inf,-0.07142857142857151,-0.09090909090909083,0.0,0.0,0.0,0.0,0.05555555555555558,0.040892193308550207,,0.0,,0.0,0.016949152542372836,0.0,0.0,0.0,0.08333333333333348,0.0,0.04054054054054057,0.041297935103244754,0.0,0.0,0.04382470119521931,0.0,,0.0,0.10697674418604652,,0.0,0.0,0.0,0.0,-0.032258064516129115,0.0,0.0,0.0,,0.006122448979591688,0.010738255033557076,0.0,0.0,0.0,0.09999999999999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666665,0.010638297872340496,0.0,0.0,-0.05529411764705894,0.0,0.0019305019305020377,-0.019607843137254943,0.024590163934426146,0.0,0.0,,0.0,0.0,0.0,,0.014754098360655776,0.0,-0.007590132827324347,,,0.0,-0.06666666666666654,0.03333333333333344,0.0,0.0,0.09090909090909083,0.0,0.008474576271186418,0.01098901098901095,0.0,-0.005813953488372103,0.009541984732824416,0.0,0.017669961066187456,0.0019230769230769162,0.0,0.0003278688524590567,0.0,0.012499999999999956,,0.07894736842105265,0.014457831325301207
2020-09-03,-0.14285714285714302,0.0,0.0,0.0,-0.0273972602739726,0.0,-0.07692307692307698,0.09999999999999987,0.0,0.0,0.0,0.0,0.03157894736842115,0.014285714285714235,,0.00746268656716409,,0.0,-0.008333333333333304,0.0,-0.05555555555555547,0.0,0.0,-0.16666666666666663,-0.025974025974025983,-0.019830028328611804,0.0,-0.33333333333333326,0.057251908396946494,0.0,,0.0,-0.021008403361344463,,0.0,0.0,0.0,-0.06451612903225812,-0.033333333333333326,0.0,0.0,-0.12499999999999989,,0.0,0.012616201859229736,0.0,0.0,0.0,-0.022727272727272707,0.0,0.0,0.0,0.0,-1.0,-0.0434782608695653,-0.16666666666666663,0.13157894736842102,-0.09375000000000011,-0.010526315789473717,0.0,0.05263157894736836,-0.001245330012453305,0.0,0.015414258188824581,0.0,0.020000000000000018,0.5,0.0,,0.0,0.0277777777777779,0.0,,0.04038772213247177,0.0,0.0,,,0.0,0.0,0.032258064516129004,0.0,0.0,-0.16666666666666663,0.16666666666666674,0.008403361344537785,-0.021739130434782594,-0.004777070063694322,0.0,-0.041587901701323204,0.0,0.009319207376888405,0.0019193857965451588,0.00019972039145188525,0.00508030154047856,0.0,0.051851851851851816,,0.2195121951219512,0.018408551068883616
2020-09-04,0.08333333333333348,0.0,0.0,0.0,0.0,0.0,0.0,-0.09090909090909083,0.0,0.0,0.0,0.0,0.020408163265306145,-0.014084507042253502,,0.06666666666666665,,0.0,0.0,-0.03125,0.0,0.0,0.0,0.0,-0.013333333333333308,-0.014450867052023031,0.0,0.5,-0.04693140794223827,0.0,,0.0,-0.03862660944205998,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.026369168356997985,-0.015081967213114833,0.0,0.0,0.0,-0.023255813953488413,-0.02631578947368418,0.0,0.1428571428571428,0.0,,-0.09090909090909083,0.0,0.023255813953488413,0.06896551724137945,-0.02127659574468077,0.0,0.0,0.0,0.0,0.0,-0.020000000000000018,-0.007843137254901933,0.0,0.0,,0.0,-0.018018018018018056,0.0,,0.026397515527950333,0.0,-0.024856596558317512,,,0.125,0.0,0.0625,-0.009615384615384581,0.0,0.19999999999999996,0.0,-0.03958333333333319,-0.02777777777777779,0.0,0.011695906432748648,-0.013806706114398493,0.0,-0.03158713188842455,0.0015325670498083088,-0.00019968051118202101,-0.02722974074677975,0.0,-0.04225352112676051,,-0.07999999999999996,-0.026239067055393583
