,Daily Sharpe - 1d,Annual Sharpe - 1d,Return over 1d (%),Avg volume (1d)
AACG,,,,382925.0
AACQ,,,,3953082.0
AACQU,,,,92283.0
AACQW,,,,366897.0
AAL,,,,39776752.0
AAME,,,,98044.0
AAOI,,,,636823.0
AAON,,,,232067.0
AAPL,,,,148913253.0
AAWW,,,,653358.0
AAXJ,,,,1050931.0
AAXN,,,,467946.0
ABCB,,,,559990.0
ABEO,,,,2090259.0
ABIO,,,,881101.0
ABMD,,,,308744.0
ABTX,,,,124048.0
ABUS,,,,2033644.0
ACAD,,,,2846254.0
ACAM,,,,
ACAMU,,,,
ACAMW,,,,
ACBI,,,,182231.0
ACCD,,,,1037610.0
ACER,,,,178652.0
ACET,,,,75565.0
ACEV,,,,744394.0
ACEVU,,,,8620.0
ACEVW,,,,292263.0
ACGL,,,,2796351.0
ACGLO,,,,15167.0
ACGLP,,,,25008.0
ACHC,,,,658222.0
ACHV,,,,182562.0
ACIA,,,,
ACIU,,,,276929.0
ACIW,,,,582343.0
ACLS,,,,302779.0
ACMR,,,,447657.0
ACNB,,,,20987.0
ACOR,,,,505488.0
ACRS,,,,349548.0
ACRX,,,,1673400.0
ACST,,,,24466714.0
ACT,,,,3084.0
ACTCU,,,,14404.0
ACTG,,,,695009.0
ACWI,,,,4645036.0
ACWX,,,,2096814.0
ADAP,,,,722468.0
ADBE,,,,3885123.0
ADES,,,,125470.0
ADI,,,,3897375.0
ADIL,,,,175305.0
ADILW,,,,201.0
ADMA,,,,2092198.0
ADMP,,,,3846063.0
ADMS,,,,238257.0
ADP,,,,2550502.0
ADPT,,,,2582274.0
ADRE,,,,18682.0
ADRO,,,,
ADSK,,,,1623241.0
ADTN,,,,284234.0
ADTX,,,,316099.0
ADUS,,,,102747.0
ADVM,,,,689109.0
ADXN,,,,9084.0
ADXS,,,,5262854.0
AEGN,,,,231635.0
AEHR,,,,208264.0
AEIS,,,,315142.0
AEMD,,,,445261.0
AERI,,,,599160.0
AESE,,,,3319429.0
AEY,,,,36364.0
AEYE,,,,170241.0
AEZS,,,,12350266.0
AFIB,,,,545561.0
AFIN,,,,1025858.0
AFINP,,,,56362.0
AFMD,,,,1116526.0
AFYA,,,,115556.0
AGBA,,,,71979.0
AGBAR,,,,1902.0
AGBAU,,,,0.0
AGBAW,,,,16095.0
AGEN,,,,2764487.0
AGFS,,,,83732.0
AGIO,,,,1257971.0
AGLE,,,,369467.0
AGMH,,,,9813.0
AGNC,,,,9763769.0
AGNCM,,,,18228.0
AGNCN,,,,22663.0
AGNCO,,,,30852.0
AGNCP,,,,97876.0
AGRX,,,,1531229.0
AGTC,,,,1469287.0
