,14D.AX,1ST.AX,3PL.AX
14D.AX,1.0,0.11666442855816166,-0.11596334164523543
1ST.AX,0.11666442855816166,1.0,-0.03083232044490028
3PL.AX,-0.11596334164523543,-0.03083232044490028,1.0
