,14D.AX,1ST.AX,3PL.AX
14D.AX,1.0,-0.0326380077410629,-0.26383706479647245
1ST.AX,-0.0326380077410629,1.0,-0.08322208742483302
3PL.AX,-0.26383706479647245,-0.08322208742483302,1.0
