,Daily Sharpe - 5d,Annual Sharpe - 5d,Return over 5d (%),Avg volume (5d)
AACG,-1.6806029659716932,-26.67874500359188,-0.20776699029126217,184640.0
AACQ,-0.3506610786167091,-5.566572050936889,-0.05075690115761356,3863840.0
AACQU,-0.30751085847636866,-4.881583541882701,-0.05578684429641965,40340.0
AACQW,,,0.0,978227.0
AAL,-0.2198279756129289,-3.489660928119489,-0.034466477809254034,49291160.0
AAME,-0.736639298587901,-11.693786340123838,-0.22899159663865545,75800.0
AAOI,-1.1366640858078634,-18.043982971597135,-0.10753880266075376,1276400.0
AAON,-0.7911762531941005,-12.55953365502877,-0.05918842078056343,200000.0
AAPL,-0.7900438575016061,-12.541557430700406,-0.049847405900305224,132656100.0
AAWW,0.3153561690117501,5.006123985690867,0.042118582791033955,591600.0
AAXJ,-0.49272465860377634,-7.821761468968765,-0.029587014588042013,1043200.0
AAXN,-1.443442096491271,-22.91393291542561,-0.15685234305923967,920835.6
ABCB,0.5051606661005503,8.019176967802759,0.0271317829457364,515820.0
ABEO,-1.0806261138972493,-17.154407745685685,-0.14102564102564105,3933820.0
ABIO,-0.24046861627976315,-3.817320940752428,-0.05720823798627002,1546960.0
ABMD,-0.5155788797676973,-8.18456098261559,-0.07105409239499157,288400.0
ABTX,0.5229678323800656,8.301856968984994,0.024258064516128972,116220.0
ABUS,-0.4340510926515212,-6.8903474847106825,-0.14062500000000003,2674700.0
ACAD,-0.034195495998598655,-0.5428366702247781,-0.011702986279257574,1225240.0
ACAM,,,,
ACAMU,,,,
ACAMW,,,,
ACBI,0.784849723122744,12.459103103644086,0.08594491927825272,91660.0
ACCD,-0.6570955418192879,-10.43106834757847,-0.1520815632965165,1082960.0
ACER,-0.2943565644176246,-4.672765597370393,-0.1169230769230769,237200.0
ACET,-0.5356063776949038,-8.502487656005089,-0.12179487179487182,167160.0
ACEV,-0.3841222005982652,-6.097750895051255,-0.08793103448275859,937380.0
ACEVU,-0.41672815683529374,-6.615354403827053,-0.08320251177394038,9740.0
ACEVW,,,0.0,239660.0
ACGL,0.21534364200812772,3.418474339034567,0.01280980228348652,5124600.0
ACGLO,-0.06570853314536497,-1.043090626304883,-0.0011650485436893645,12300.0
ACGLP,-0.2764666872157222,-4.3887726010000865,-0.0015772870662460231,26620.0
ACHC,-0.3834315783040752,-6.086787606009434,-0.018915060670949363,797960.0
ACHV,-0.44301954932973026,-7.032717320798268,-0.0886402753872633,171200.0
ACIA,-inf,-inf,,0.0
ACIU,-0.15285237915841,-2.426456295346231,-0.02108036890645588,395900.0
ACIW,-0.21621698268835057,-3.4323381925328005,-0.027184959349593505,805760.0
ACLS,-0.2999153983725639,-4.76100935071602,-0.06320825988416011,370720.0
ACMR,-0.820583852287093,-13.026364818162051,-0.18191104095087757,471440.0
ACNB,0.9373368486121609,14.879761176748659,0.12163616792249733,20780.0
ACOR,-0.1711993050473227,-2.717704714693805,-0.12268907563025216,440920.0
ACRS,-1.110647923870029,-17.63098920426177,-0.1142975893599335,434360.0
ACRX,-0.5963146054840153,-9.466200895597785,-0.11675126903553298,3099280.0
ACST,-0.29809290155797147,-4.732078110696306,-0.14864864864864863,19231400.0
ACT,-0.8323949127568853,-13.21385959050015,-0.06041022759202038,2676.0
ACTCU,-0.9149650208795733,-14.52461942142223,-0.23878205128205132,11460.0
ACTG,-0.6200261958177888,-9.842610722875833,-0.08426966292134838,1356780.0
ACWI,-0.34648667236087577,-5.500305405991166,-0.0177514792899409,3982180.0
ACWX,-0.32062940558870484,-5.089834021213058,-0.012619433928249428,1661240.0
ADAP,-0.7713915116847748,-12.245460620304538,-0.10471204188481684,867500.0
ADBE,-0.8339585899965624,-13.238682197141895,-0.06120493217198716,3295720.0
ADES,-0.27874957324436334,-4.425012293219817,-0.04132231404958678,184820.0
ADI,-0.500971680144363,-7.952678877289075,-0.06122706349706796,3595560.0
ADIL,-0.438568691976805,-6.962062150737086,-0.10878661087866118,540100.0
ADILW,,,0.0,1878.0
ADMA,-1.405940385723306,-22.318611712836557,-0.1363636363636364,3090360.0
ADMP,-1.1658028084664236,-18.506545853656934,-0.21428571428571436,6318360.0
ADMS,-0.24706604704095292,-3.922051907268882,-0.05765407554671969,799700.0
ADP,0.048037816541268416,0.7625766965684472,0.004281690140845019,2008880.0
ADPT,-1.8186778155200374,-28.870615288897348,-0.27051304197616177,1687740.0
ADRE,-0.4165938320588263,-6.6132220641063695,-0.039353363814500386,44920.0
ADRO,,,,
ADSK,-0.9182765006844321,-14.577187533633845,-0.05938016674288527,1631080.0
ADTN,-0.6278979333436651,-9.967570682152493,-0.06772009029345369,254500.0
ADTX,-1.218611159113379,-19.344852431412978,-0.21118012422360252,544620.0
ADUS,-0.5368894432096895,-8.522855689612644,-0.08422799141128241,127640.0
ADVM,-0.951436919606653,-15.103592864667347,-0.16516516516516525,987980.0
ADXN,-0.30151906446327476,-4.786466760688068,-0.05892857142857145,26420.0
ADXS,-2.357076570294606,-37.4174305568195,-0.2272727272727272,8782620.0
AEGN,0.030856191433729988,0.48982685364150663,0.0007698229407236171,312620.0
AEHR,-0.6297343507564782,-9.996722904818167,-0.20711974110032352,516680.0
AEIS,-0.6509310922277056,-10.33321074404495,-0.08233815210559398,274100.0
AEMD,-0.87377593254287,-13.870762914611902,-0.1695652173913043,264500.0
AERI,-0.2094612932344957,-3.32509494715471,-0.02241918665276328,1063540.0
AESE,0.12752896214936654,2.0244595128323586,0.03829787234042547,26981460.0
AEY,-1.6191208753006694,-25.702747071592764,-0.13311688311688316,89940.0
AEYE,-0.6823128037089464,-10.831379969814611,-0.18297746144721228,179980.0
AEZS,-1.6230735758482202,-25.76549424752833,-0.1999999999999999,7584500.0
AFIB,-1.9090741983299964,-30.305613378907022,-0.2041198501872659,389160.0
AFIN,1.4145826339578162,22.455803150418568,0.11111111111111113,746520.0
AFINP,1.2600133256375592,20.002091449586565,0.006314127861089193,19600.0
AFMD,-0.6910961682594752,-10.970811559465329,-0.11675126903553305,1656280.0
AFYA,-0.3689842219093741,-5.857442933273246,-0.018396846254927646,198600.0
AGBA,0.5605213884626837,8.89800119042934,0.012499999999999904,43220.0
AGBAR,,,0.0,7746.0
AGBAU,-inf,-inf,0.0,0.0
AGBAW,,,0.0,63222.0
AGEN,-1.200879004584489,-19.063363204856117,-0.19191919191919188,4147980.0
AGFS,-0.024379677465864696,-0.3870153817118603,-0.0041152263374486546,111480.0
AGIO,0.1807440920794835,2.8692235115188356,0.02904651652283735,855820.0
AGLE,-0.3643499812005338,-5.783876642686027,-0.0693196405648267,228000.0
AGMH,-0.33081548033271047,-5.251532944864386,-0.017610062893081833,4960.0
AGNC,-0.10452129720525193,-1.659224154689802,-0.0037593984962406325,10053520.0
AGNCM,0.19408246237983426,3.0809635757765435,0.0028022417934347593,23980.0
AGNCN,-0.17049214848276634,-2.7064789522469876,-0.006264682850430703,29340.0
AGNCO,0.21181440691175704,3.3624494687348996,0.0052867019113460355,46780.0
AGNCP,0.5063037747099904,8.03732325441545,0.008528784648187604,38960.0
AGRX,-1.2007694089215446,-19.06162342764258,-0.26158940397350994,2379000.0
AGTC,-0.5001456665717247,-7.939566318332485,-0.11433756805807621,2683600.0
AGYS,-0.5279606424589803,-8.381115371858105,-0.13924654268001904,357620.0
AGZD,-0.6018327379571687,-9.553798532950628,-0.0019007391763464288,61140.0
AHACU,-0.4860601840905202,-7.715966215882741,-0.12762871646120377,49940.0
AHCO,-0.19367548685115482,-3.0745030395450947,-0.025046963055729513,1415360.0
AHPI,-0.3244148032596369,-5.149925346317674,-0.11507936507936509,216680.0
AIA,-0.3507364317825233,-5.567768245360364,-0.024725556581512226,255260.0
AIH,-0.4323600629958827,-6.863503221139954,-0.13123359580052493,139540.0
AIHS,-0.5554870584043945,-8.818083678317038,-0.21153846153846156,1848760.0
AIKI,-0.6850128882888555,-10.87424248371829,-0.20300751879699247,11809480.0
AIMC,0.041901377560300636,0.665163747693467,0.004392386530014693,315420.0
AIMT,,,,
AINV,-0.0840466950166493,-1.334199921185674,-0.004975124378109473,352560.0
AIQ,-0.6560783972526129,-10.414921678153535,-0.05288135593220335,57920.0
AIRG,-0.7581717912760705,-12.035604064685117,-0.1587432823480777,223980.0
AIRR,-0.029800666656008203,-0.4730709172543952,-0.004030226700251982,56340.0
AIRT,-0.6455897359311776,-10.248419341498536,-0.09125188536953235,22880.0
AIRTP,0.33759915300095106,5.35922040999937,0.010101010101010102,900.0
AIRTW,,,0.0,62590.0
AKAM,0.12460911659194897,1.9781084015624966,0.012403585574317259,2350860.0
AKBA,0.06923506870686728,1.0990726428170468,0.008902077151335253,6450600.0
AKCA,,,,
AKER,-0.709696425559674,-11.266081490294168,-0.18879056047197643,417320.0
AKRO,0.01441262063837461,0.22879325969913722,-0.0013076168682575726,319400.0
AKTS,-2.580468628725768,-40.96366954567348,-0.21106821106821103,1032540.0
AKTX,-1.474458263370243,-23.40629930053104,-0.16167664670658685,167040.0
AKU,-0.4716670476226488,-7.487482257801528,-0.035040431266846334,91620.0
AKUS,-0.9551698720330235,-15.162851647324615,-0.1763307984790875,450780.0
ALAC,-0.6605603239218002,-10.486070058320122,-0.0705679862306367,95940.0
ALACR,,,0.0,49693.0
ALACU,-inf,-inf,0.0,0.0
ALACW,,,0.0,342378.0
ALBO,-0.509600873991085,-8.089663082889446,-0.06417830290010743,202300.0
ALCO,0.1798095205375407,2.8543876482245625,0.01620526671168131,54620.0
ALDX,-0.5632718379562894,-8.941663222551687,-0.08360655737704915,737360.0
ALEC,-0.12173864787833784,-1.9325411233880574,-0.02065404475043026,662320.0
ALGN,-0.31667485544084756,-5.027057483782873,-0.050698094176355006,957520.0
ALGT,-0.6543019740235345,-10.386721833629498,-0.03219794599310046,166900.0
ALIM,-0.377573212678682,-5.993788934804955,-0.11913357400722023,60980.0
ALJJ,-0.8413904878754328,-13.356659918482212,-0.12666666666666662,303740.0
ALKS,0.040577434510380934,0.6441468033328676,0.004166666666666763,1167160.0
ALLK,0.21368715884306644,3.392178484000263,0.04598867190802263,317340.0
ALLO,-0.3687387798544741,-5.853546661441994,-0.0684931506849315,1019900.0
ALLT,-0.9858476237413761,-15.649845858141944,-0.1011942174732872,227160.0
ALNA,-1.088476239690529,-17.279024629343237,-0.15517241379310345,1028500.0
ALNY,-0.16531973886217763,-2.6243694950367735,-0.03603361344537824,559640.0
ALOT,0.3286366295288464,5.216944760638762,0.017699115044247725,21540.0
