,14D.AX,1ST.AX,3PL.AX,4DS.AX,5GN.AX,88E.AX,8CO.AX,8IH.AX,8EC.AX,8VI.AX,9SP.AX,ACB.AX,A2B.AX,ABP.AX,ABL.AX,AEG.AX,ABT.AX,ACS.AX,ACQ.AX,ACF.AX,ACR.AX,ACW.AX,ACU.AX,AD1.AX,ADA.AX,ADH.AX,1AD.AX,ADD.AX,ABC.AX,ADR.AX,AHZ.AX,ADY.AX,ADT.AX,ADJ.AX,ABV.AX,ADX.AX,AER.AX,AEI.AX,AFL.AX,AEB.AX,AFR.AX,A1G.AX,AFT.AX,AFP.AX,AGL.AX,AGJ.AX,AGR.AX,AHL.AX,A1M.AX,AGI.AX,A40.AX,AHQ.AX,AGS.AX,AGE.AX,A4N.AX,1AG.AX,AGH.AX,3DA.AX,ABR.AX,ADN.AX,AAR.AX,AGG.AX,ADO.AX,AGX1.AX,AHX.AX,ADI.AX,ADV.AX,AGY.AX,AHK.AX,AAJ.AX,AHY.AX,AFA.AX,AHN.AX,AIA.AX,ACP.AX,AD8.AX,AEE.AX,ABW.AX,A3D.AX,AC8.AX,AGD.AX,AAC.AX,AAP.AX,ABX.AX,AHF.AX,AEF.AX,AFG.AX,AFI.AX,AGM.AX,ABA.AX,AEV.AX,A200.AX,AGVT.AX,AAA.AX,ACDC.AX,4CE.AX,360.AX,1AL.AX,3DP.AX,A2M.AX
14D.AX,1.0,0.11652915558510057,-0.0882375148370501,0.05649155015962459,0.03729734931384454,0.296108690465025,-0.08530262505845158,0.15183445870758316,-0.03544286658794553,-0.14287819761141352,0.13022139016338083,0.047666726652337205,0.03130659298658959,0.17667918481575748,,-0.001884105241780812,,,0.22554806399214455,0.06214233151350831,0.1072647134129319,-0.26299624307753877,-0.19450238895751354,0.021024567217776364,0.32885159353831256,0.031604159351627234,0.25387540312931645,-0.07989734782990919,-0.07740242928290716,0.026793293680572212,,-0.07542601081270729,0.2766299756748891,,-0.027174524242182016,0.050914069521583026,0.06889037768761899,0.15632819486736374,-0.13235994934615913,,0.08256379903188021,0.2016250351771267,,-0.06527444227189179,-0.002211293592358544,,0.20479243861063792,,0.06420969673593956,-0.27933335879929266,,0.08982950347593627,-0.015786090018538607,0.1321235706977396,-0.13711486152386246,0.04441539268224706,-0.06814829946264273,0.22118469719176814,0.05414690877237683,0.09049381410647246,0.20269132260460812,-0.06934968944019086,-0.04123668955614232,0.09865237775054575,-0.031702110714348565,-0.02054298260658304,-0.05853908616263502,-0.04896753860583013,,,0.08892004778401495,0.16714583412054937,,0.014976253917958827,0.1687043777033981,0.007213863946272244,,,0.1866794540846738,0.1546850301849454,0.10862406863854865,0.1301596614618856,0.3199169766900539,0.24707514832510685,0.03911779144436223,-0.1674824628629922,-0.01715479359891903,-0.12425753567828923,0.019489804036485696,0.09313015242134269,0.12325605421364963,0.04669504234201809,-0.06044150302731884,0.0853506979264253,0.06353074223637221,0.15384734567173347,-0.031183350700696125,,-0.19440429509949722,0.1343570236028413
1ST.AX,0.11652915558510057,1.0,-0.03186854872927207,-0.022143019792009576,0.4766026259089285,0.48714204518905563,0.34229225917094336,-0.012174884120388526,0.011553358303141874,-0.040889971666969616,0.0015476736747081104,-0.20706549640977134,-0.1359028700087405,0.165212045584937,,-0.08139646545434598,,,0.08612563989562348,0.17706330848410262,-0.10560302381018674,-0.00466766536346284,-0.08032153625896142,-0.4514928937560813,0.29233885299711654,0.07815765884114437,-0.007049377594949913,-0.29785449937362546,-0.04823002245959446,-0.010092117498313433,,-0.014215736215500896,0.16772084003343704,,-0.17398255175344496,0.023145915817929567,-0.008832849688893281,-0.029921786958582205,-0.01749490997101318,,-0.0032986116340753585,0.09162954490157114,,0.0952621313544846,-0.07227613610914034,,-0.016240366778772903,,-0.043641515009760906,-0.15818771033555382,,0.01228717554494137,0.09248187780610113,0.028891599832849425,-0.1376442259933726,0.0016426704284809982,-0.046025792405613546,-0.03874563537659359,0.11431784249328025,-0.032413946506026234,0.0752563233592578,-0.00888719488277208,0.019701628999903912,-0.014896584989850603,-0.1811354113382539,0.10247326093153625,-0.00805303384260647,-0.013448810115068564,,,-0.15370123891062212,0.29985057166319046,,-0.09228299855558984,-0.015815526183797494,0.015443854359118629,,,0.1003730806844229,-0.18945352738849366,-0.06152110356316646,0.0677201474829243,-0.010112708140972995,0.1297067881630006,-0.008485635118552208,-0.031207495575995836,0.023780499463371435,-0.025800006450418512,0.09340004888700906,0.06244868421879219,-0.0075404918228415855,0.018510884481567246,0.05208139038398582,0.17923454499265598,-0.05388039045551653,-0.01197746523625859,0.0062408195013435525,,-0.3219449085733333,-0.08191989884359073
3PL.AX,-0.0882375148370501,-0.03186854872927207,1.0,-0.15271336716522196,-0.023781061275243886,0.005310767720516304,0.033578269545417656,0.03916008853201429,-0.09964030014961885,0.0811563363767242,0.05662861640996041,-0.11237115618013502,0.1471395741228491,-0.2845262160286506,,-0.012805832441615666,,,-0.13358363723965969,0.10023244676016187,-0.23382635766713492,-0.0019747508748373973,0.3257632674998119,0.05979285230016351,-0.09362233489545374,0.08056671797927965,-0.21749424467987138,0.21003711712780218,-0.20603751087614108,-0.01680145054701838,,0.23385879975268645,-0.010042632185554018,,0.08044556566103611,-0.19989898817386392,0.004733285872988183,0.04721866819941697,0.06494961164740402,,0.04879619691415183,-0.06956037493507997,,-0.012037038631048495,-0.057727923106880935,,-0.09254999846334541,,0.04048740952912964,-0.06914706742446172,,0.3193894501855528,0.028999458863173986,-0.03678167949274626,0.0379875981001989,0.05684361285603176,0.012517942843961048,-0.05239539496904689,-0.13135267034037032,0.32020791941678234,-0.08110424727203604,0.1031967719804638,-0.11768183182509044,-0.2988225838668336,0.10842287260920062,0.060103920120192306,-0.06798082923153145,0.022685846760915125,,,-0.12332698334482944,-0.0006439486796347092,,-0.009738147880029316,0.5357811740308769,0.18233611446421658,,,0.2307980657036773,-0.057777052996445324,0.10884792690297253,-0.19016748486771728,-0.3174966116767095,0.12384580857601979,0.14193868954609723,0.03800193210388817,-0.1579945093479857,0.02796907759960528,0.04017279363986991,0.13588243292610325,-0.21111503324767136,-0.0181236409665757,0.020769952261928838,0.04073055820097458,0.12840769304681193,-0.19736718114602986,0.07867501942798195,,0.08334701179216572,-0.20538270213948806
4DS.AX,0.05649155015962459,-0.022143019792009576,-0.15271336716522196,1.0,-0.03683237948014632,0.029844581186765574,0.15901540408592926,0.2717906976530759,-0.0016619064820821235,-0.12425027931071835,-0.2115530728956693,0.07795825066211653,-0.061125756401637914,0.01109106065112301,,0.01098477703481255,,,0.10066274344390097,0.024942055898498162,-0.0024113313133049827,-0.12699674062933464,-0.24060595890068476,-0.05042102814841054,0.203092918187005,0.07141207906021793,0.09915641476948835,-0.17689684137539866,0.04292018467609555,-0.09879962299756588,,-0.1206114238177636,0.13843222155708257,,0.04219949941119106,0.18510413569359108,-0.0045481301891958864,0.1698989180482228,-0.07048697349716414,,0.06862097365163407,0.11465391872948556,,-0.0808448395526539,0.04517093369791604,,0.03150256734574242,,-0.02546663571657573,-0.03086763526966087,,0.19457212451474917,-0.03835961645640409,-0.49061987828222137,-0.07818392554976678,-0.011963104805870362,0.2654263857299239,0.1622030284237934,0.17576643004306738,0.18032909183729698,-0.04964511481193186,-0.01751371856597563,0.2511708442607021,0.038492060186524915,-0.06061576522846607,0.06063284809150747,-0.22784743958630443,-0.029874197097179554,,,-0.01059718390874649,-0.003614367500576347,,0.01771755428529207,0.1391813560424065,-0.05997584696029202,,,-0.10106126210187585,-0.09738723433147882,-0.05142496864975755,0.42300477395984154,0.219506545484908,-0.14481326156716706,-0.05613696808170817,-0.04525473429042816,0.050208057825184615,-0.10423574876021285,0.011909590143671817,0.07355402622628415,0.42873002525027243,0.056343595778171655,0.09528222047423268,-0.09820896715231772,0.011286451701937338,0.07437623057212406,-0.056302008555174775,,0.12317128747083408,0.08654153181701198
5GN.AX,0.03729734931384454,0.4766026259089285,-0.023781061275243886,-0.03683237948014632,1.0,0.21156021650445442,0.4444117978309792,0.03276159448539052,0.025639522222613342,0.008289554749046106,0.04416749715318188,-0.16055455337315475,-0.13552906716543675,0.23424084093542555,,0.10879917730487472,,,0.1323235707292582,0.12912448619764286,-0.03012353520421162,0.08601561678889309,0.014528125087865724,-0.1510628626382305,0.38177432235303077,0.16559748913792502,0.03981130117847563,-0.035933589760835334,0.14909947003216545,-0.11111627670153156,,0.095328711560431,0.14106687520590053,,0.016597282289196515,0.08030645651061367,-0.027890326942361366,0.18525878494245043,-0.04828438312951412,,0.05651234104216567,-0.07998637886725106,,0.2468138457677615,0.023419908047561156,,-0.03301505306951571,,0.04023947731735536,-0.25177887831542356,,-0.06890457989437222,0.1328350250857746,0.0849467939353704,0.06225098651860493,0.05317215900795424,-0.0660400717987492,0.00962404994898363,0.37828584932885023,0.020682110659108976,0.21673145777752933,0.19354221391436607,-0.08848741776340058,0.04285009850862036,-0.1320008414032962,0.07788580503679862,0.06225931196963483,-0.0944647804672923,,,0.13049242256142934,-0.016672141651968442,,0.049616927357661704,-0.0827345654107347,-0.004817632631783508,,,0.11952598434757773,-0.09025489485189407,0.1302761775889344,0.023039918152455693,-0.059050940968974355,0.15835099541007064,-0.00723712674719862,0.0440589895098513,0.21799416125769366,-0.038508954396529,0.2488365801461442,0.20907542061885218,-0.1312560119156388,0.23633223881603482,0.16263007557585069,-0.07111832670132656,0.12268797367749369,-0.058139185404444994,0.18568017555192473,,-0.03163926412863968,0.11896297254170778
88E.AX,0.296108690465025,0.48714204518905563,0.005310767720516304,0.029844581186765574,0.21156021650445442,1.0,0.19233223594329107,0.09081909494309895,-0.015557526864212377,0.052219976046880466,-0.002083369503256729,0.007700513795421224,-0.01958259081667528,0.26600472123315216,,-0.1551939366440895,,,0.08534028352163593,0.1276268144824403,0.008053959424838735,-0.0038825071697840764,0.0004907746679106987,-0.2925228411376026,0.2510679373443673,0.08810222487454783,0.009471339712063894,-0.3689723023287583,0.10830610708825245,0.27199172244987924,,0.0191459895266871,0.3135163475808838,,0.007167031796420772,-0.14085904245475275,0.011892457925402476,0.16940338774014396,0.023034640636827586,,0.0044404553085542,0.0009995275194720492,,0.050825699644603456,-0.080612908906637,,0.021876243704934337,,-0.13021216846368666,-0.013165575708422245,,-0.008895185207832269,-0.11366345554740315,-0.1754116038614059,-0.07067819498558008,-0.0022112491663337473,0.013009247711016737,0.16382507531181636,0.13403436533684715,0.04375063678607431,-0.0058332801501668734,-0.185239897625648,0.01679622024615859,0.019682602555406232,0.015259404278307472,0.1177137900726449,0.01084215722075174,0.018112098545539832,,,0.09532639746415071,0.6474594255598553,,0.011421100480553559,0.021303229375498743,0.006223093911081644,,,0.22535997522885554,-0.18016555964671693,-0.14919771327036915,0.01645566163942041,0.013616489564865608,0.0007473929052230646,0.011424796318565338,0.05462487569704128,0.08118973597592714,0.03430879137371853,-0.0016625666684515164,0.025630446152127954,0.010151891892510362,0.19697678340750532,-0.0077053431464669106,0.4039942203235413,0.06689568771456135,0.016129032258064543,0.11379776119350879,,-0.5405780471215029,0.11097725004951636
8CO.AX,-0.08530262505845158,0.34229225917094336,0.033578269545417656,0.15901540408592926,0.4444117978309792,0.19233223594329107,1.0,0.011257956351486895,0.23245692552372665,-0.01322506861889415,0.1864586333816552,-0.10776370957915195,0.05276448423158788,-0.009401098274772089,,0.020361565160295237,,,-0.13324393689698372,0.10416605543009275,-0.18633707422828566,0.09102355799961033,-0.04762803899715773,-0.056547706203561754,0.2378556287559412,0.23127949910152545,-0.0050209674089590406,0.06647426567074698,0.21321599969467941,0.12344863974901268,,-0.15124059023449357,0.16648044323692401,,-0.05350665410546244,-0.10136855249214692,-0.022294128694202647,0.1380942511094961,-0.20406718399088072,,0.03116797834792081,0.006455282768808758,,0.19119111154687865,0.040631587067512805,,-0.05312374539494284,,0.10213538600492891,-0.03715576505597778,,0.03957810520765892,0.09357885721725635,-0.003614360035217117,-0.05465232560981586,0.07990874913014431,0.20115447488412366,0.15746498720285354,0.29301796482721393,0.13394914334868335,-0.05032251883950756,0.23029774783030293,0.04072799467185792,0.015230534329784407,-0.18951455280294238,0.2469618558264536,-0.2307580925081781,0.021234041771536687,,,-0.02340999892475041,0.1040044114156902,,0.17155489164348733,-0.11600329858621095,0.1704147237019405,,,0.04258036214590125,0.1110698670761732,0.01335317464001636,-0.05456224157008807,-0.10131968672281358,0.2934762528300561,-0.02987842289571257,0.18099306164587473,0.2640350824648293,0.036240749593668645,-0.001477112750249659,0.33985575965638515,-0.010049587930348842,0.21133259276354524,-0.052531712433493846,0.022000158753144095,0.22857312435749338,0.05118012940580586,0.17073523366205295,,0.04208619011807232,-0.0013665463822189919
8IH.AX,0.15183445870758316,-0.012174884120388526,0.03916008853201429,0.2717906976530759,0.03276159448539052,0.09081909494309895,0.011257956351486895,1.0,-0.10816556609126972,0.10837349591553763,-0.16815362514354637,0.03640765383573606,-0.005803133029655706,-0.020315397337398563,,-0.039737760124591404,,,0.012049111266675799,0.07640034582006797,-0.00390798270560421,-0.045089295753370236,-0.18917771221751573,0.12613019441847467,0.15672346242199398,-0.06592081745319632,-0.09695528140415428,-0.1221000514718141,0.06949707966457215,-0.05316797134310253,,0.01199737457861527,-0.03184947750299939,,0.027535848166495257,0.25786851153943935,0.026431307725608477,0.09617266050416122,-0.1231597399335825,,-0.0034869913234364986,-0.08136231478697623,,0.036890212797142066,-0.005588581659345199,,0.021659109723110366,,-0.029978475011960232,-0.09548763742158045,,0.056249450481924416,0.07740215020365335,-0.21735521204044583,-0.024579401179110852,0.06297337674053849,-0.03625801201996806,0.08341413321036889,-0.1058252082965131,0.10167228028340397,0.10850764916469585,-0.0009124576058484093,0.0956314683271833,0.03423946936477294,0.0038312290465794354,-0.15510785591916382,-0.06602740955974212,-0.04339632991020989,,,-0.06929394534491512,0.0456756367080698,,0.17051134450838673,0.17937898389706358,-0.17679375719216175,,,0.06056143758831221,0.04587750691928909,-0.027529862493753155,0.23835294837115767,0.2817732026693561,-0.11040903018689398,0.14923053328981908,-0.124930145167603,0.04039555480799646,-0.11560585601249572,-0.13615846854051852,-0.009051842155734235,0.3102496334857755,0.01633057914160622,-0.03227382396458307,-0.05093494405851023,0.004026877015111765,0.14571470216302382,-0.013086487636106196,,0.00035379639771455386,0.05237889177190625
8EC.AX,-0.03544286658794553,0.011553358303141874,-0.09964030014961885,-0.0016619064820821235,0.025639522222613342,-0.015557526864212377,0.23245692552372665,-0.10816556609126972,1.0,0.07203868623550824,0.4315894639696193,-0.3405001373864547,-0.12553637354110808,0.05026713088412684,,0.07125166885581181,,,-0.07932296733689155,0.07806914020631264,-0.05770023518828106,0.0057831540414998795,0.13325713447184118,-0.10039169923592728,0.1382656131090481,0.09962607787425395,-0.1150189597800797,0.09558793824370525,-0.00494973620366964,0.06272899501332405,,0.018993258688588924,-0.1251978016065334,,-0.1765732467890742,,-0.1687059103047563,-0.1355526158075098,-0.10606113874395942,,0.004086920916024916,-0.1503539308774262,,0.13697484660706796,0.01871864522240964,,0.13991909384063966,,0.16261433313842755,0.06482617818112626,,-0.015223591105646212,-0.045862664764583574,-0.07929729911907928,0.010998214949881428,-0.002035239330069372,0.13004869599407465,0.27438767361221034,-0.11162106167179103,0.035389557253000935,0.11074999789042969,0.08455352224156729,0.03144417691949074,0.09190745978523912,0.09933855840014508,0.09956823964866464,0.009977565139471343,-0.008436604371792297,,,-0.02623058365139327,0.0018858350471446773,,0.09831629294023615,-0.268721324738602,0.024408173308735716,,,0.10064229054142879,0.12941484162772504,0.1756367650035272,-0.09875887250503858,0.012529464818486656,-0.11003962079650365,-0.03501906109374259,-0.05967403395830587,0.17565794313463898,0.27733735365951456,0.1376612427104375,0.26687858099189404,0.009342534728713114,0.17408058696811468,0.028138980257975912,0.10171452470707773,-0.07724119317146803,0.01483986556324267,0.08053233963814088,,-0.06455779756286124,0.15240390663873254
8VI.AX,-0.14287819761141352,-0.040889971666969616,0.0811563363767242,-0.12425027931071835,0.008289554749046106,0.052219976046880466,-0.01322506861889415,0.10837349591553763,0.07203868623550824,1.0,-0.12655689032725095,-0.096159969704972,-0.09264640475703866,-0.0766466172853532,,-0.10733476834514134,,,-0.09149627605812059,-0.0840165308108758,-0.012322563294134935,0.17275341356177235,-0.013382747039189584,0.05749911414773463,0.22044508477276434,0.02333111819884904,-0.0017255500236764332,0.013581598673414923,0.00967270994436615,0.003830599454950053,,0.021718499860858154,-0.36157729905620817,,0.3257196337314966,0.3519511013778781,-0.16643102313141,0.15846070413708638,0.12809292925735977,,0.03354845953352207,-0.3244134453481818,,0.0832286341024371,-0.08225534530077523,,-0.01665341047430991,,-0.007210150128816647,-0.12396382238829665,,-0.0870335089522419,0.07320450493613667,-0.3732248351764632,0.11241325266606525,0.07295227723532859,-0.015355273608936557,0.13220102121425023,0.051589714334677135,-0.10946665373409724,0.03484221712932456,-0.031825199443376896,0.018236062758303608,0.12241736177545828,0.07785066679548631,-0.03500482340153523,-0.041166789796954095,0.05222648540809105,,,0.15020148620857063,0.011000174899830585,,-0.11416179957976857,-0.04878364749333626,-0.031118508794168644,,,-0.01875985161047334,-0.11202209409592738,-0.0420387597469126,0.022324934692807538,0.09321697129649953,-0.035008785344402965,-0.06166975858572652,-0.0058157503547887,-0.00963557804972149,0.4169085001834294,-0.01744034592096948,0.05630602987291746,0.13139248474303744,-0.000757955507469282,0.08367792084841529,-0.004615700336679661,0.08402378427157736,0.06749243735232685,-0.07915904187522214,,-0.05989731067622728,-0.07940877613154346
