,Daily Sharpe - 3mo,Annual Sharpe - 3mo,Return over 3mo (%),Avg volume (3mo)
14D.AX,0.07409701602754482,1.1762536638051042,0.2,273855.29850746266
1ST.AX,0.09575877951327827,1.5201234986592063,0.3333333333333334,2992939.343283582
3PL.AX,0.040329765357634675,0.6402151774193355,0.04511278195488709,344476.5671641791
4DS.AX,0.2275092308032222,3.61159707406153,1.9999999999999998,9267883.089552239
5GN.AX,-0.04486994261785735,-0.7122882570515342,-0.17021276595744672,1342967.4179104478
88E.AX,,,inf,38717627.91044776
8CO.AX,0.13660480766884006,2.1685340939253592,0.7777777777777779,1543675.8955223882
8IH.AX,0.10126983517470203,1.6076087951085773,0.5384615384615385,125898.5223880597
8EC.AX,-0.11876133691620548,-1.8852777770990055,-0.9906250000000001,1268.2424242424242
8VI.AX,0.22574525347640031,3.583594802110767,1.9508196721311475,11109.34328358209
9SP.AX,-0.015965309364948065,-0.2534414291031788,-0.25000000000000006,5631589.253731343
ACB.AX,0.058747475607610546,0.932587263663424,0.0,390607.2121212121
A2B.AX,0.2010170791787631,3.1910472047015226,0.4787234042553191,120911.4776119403
ABP.AX,0.14772441650125842,2.3450524118067366,0.16791044776119393,1366172.5223880596
ABL.AX,,,,0.0
AEG.AX,0.05439195918927551,0.8634455840183843,0.05468750000000005,138269.8208955224
ABT.AX,,,,
ACS.AX,-inf,-inf,0.0,60.60606060606061
ACQ.AX,0.1842769186553776,2.9253053947884493,0.22500000000000003,117505.68656716419
ACF.AX,0.06634515216153558,1.0531966398849752,0.12121212121212115,295090.4328358209
ACR.AX,0.06071460665967269,0.9638145010235997,0.11764705882352934,143976.223880597
ACW.AX,0.04792401056417352,0.7607700826898124,0.0,3549648.0
ACU.AX,0.006023035887990212,0.09561273058343511,-0.14285714285714296,67354.4776119403
AD1.AX,0.03857959819765862,0.6124321350708024,0.0,1826772.134328358
ADA.AX,0.09219106526217437,1.4634877907150345,0.18309859154929578,56851.253731343284
ADH.AX,-0.010300776457528174,-0.16351975690493062,-0.06376811594202904,1428129.4179104478
1AD.AX,0.07238720057798101,1.1491111850009326,0.1999999999999999,953331.0606060605
ADD.AX,0.21789696380221546,3.459007065940231,4.999999999999999,3437244.7164179105
ABC.AX,0.18877700952534188,2.996742122703156,0.3125,2026905.3134328357
ADR.AX,0.017390158612000373,0.276060209683927,-0.25000000000000006,972075.9701492537
AHZ.AX,,,,
ADY.AX,0.14608091140124405,2.3189625771681106,0.0,2284189.194029851
ADT.AX,0.001301017062464681,0.020653005592399992,-0.05106382978723409,373054.0895522388
ADJ.AX,,,,
ABV.AX,0.05467125656591739,0.8678792924209473,0.0,188340.62121212122
ADX.AX,,,-1.0,768730.0454545454
AER.AX,0.09065036958349239,1.439030005044088,0.1999999999999999,14187.39393939394
AEI.AX,-0.16157844985658334,-2.5649783732870377,-0.3898305084745763,418404.6865671642
AFL.AX,0.17968230220345696,2.8523681197794013,0.5666666666666667,116515.02985074627
AEB.AX,-inf,-inf,0.0,0.0
AFR.AX,0.0338356536799204,0.5371243505062611,0.0,159699.33333333334
A1G.AX,-0.009152851555213405,-0.14529701401311265,-0.11764705882352951,59893.333333333336
AFT.AX,,,,0.0
AFP.AX,-0.011848539823248265,-0.18808973862936065,-0.03440860215053766,12627.059701492537
AGL.AX,-0.1483711244979771,-2.3553185829879033,-0.13264649066323236,2473643.2089552237
AGJ.AX,-inf,-inf,0.0,0.0
AGR.AX,0.16685667512825192,2.648767601882706,1.2499999999999998,307343.1343283582
AHL.AX,-inf,-inf,0.0,1361092.2575757576
A1M.AX,0.055931409515397476,0.8878836003303204,0.11111111111111122,66499.34328358209
AGI.AX,-0.10904712811223044,-1.7310694930245725,-0.2439024390243902,169620.16417910447
A40.AX,-inf,-inf,0.0,0.0
AHQ.AX,-0.12635763173639647,-2.0058652189775263,-0.4444444444444444,324586.58208955225
AGS.AX,-0.015850924257061853,-0.25162562180824155,-0.15,27598.641791044774
AGE.AX,,,-1.0,5018881.925373134
A4N.AX,0.10173121705530383,1.6149330054015993,0.3600000000000001,1069543.3134328357
1AG.AX,-0.016961182596754897,-0.26925042655542114,-0.1666666666666666,105850.75757575757
AGH.AX,0.09049407016175094,1.4365488286441417,0.2368421052631578,721612.4477611941
3DA.AX,0.17924988840526024,2.8455037635383933,1.0967741935483872,773635.2686567164
ABR.AX,0.04337443347011639,0.6885477853214658,0.06578947368421058,835435.0597014925
ADN.AX,0.33306640231141393,5.287265223521939,5.2,12794734.925373135
AAR.AX,-0.009492404646797556,-0.1506872522365215,-0.11764705882352951,847135.3731343284
AGG.AX,-0.13985277673117621,-2.2200940043551975,-0.25031446540880503,28855.925373134327
ADO.AX,0.12812024157554008,2.0338457827343834,0.6,4876405.537313432
AGX1.AX,0.15262187997026683,2.422797234170856,0.10424710424710426,2607.723076923077
AHX.AX,0.1282681499717243,2.0361937557331147,0.27272727272727254,84847.19402985074
ADI.AX,0.18424405383408451,2.9247836819243047,0.20647773279352216,189388.1791044776
ADV.AX,0.08273482672682614,1.313374657699212,0.0,24934239.134328358
AGY.AX,0.13813999240933902,2.192904396164768,0.6,1681556.9253731344
AHK.AX,,,,
AAJ.AX,-inf,-inf,0.0,9086695.567164179
AHY.AX,-0.03474077791212742,-0.5514927522504894,-0.0654205607476636,269484.58208955225
AFA.AX,0.01549485674873977,0.2459732253464176,0.0,3684.969696969697
AHN.AX,,,,
AIA.AX,0.20020750077836597,3.178195546015961,0.19934102141680393,1033032.1641791045
ACP.AX,0.16250429932390015,2.579675777939049,1.9999999999999996,16152.10606060606
AD8.AX,0.1226996353296975,1.9477963262441662,0.30909090909090914,232338.61194029852
AEE.AX,,,,0.0
ABW.AX,,,,
A3D.AX,0.030569738094325796,0.48527954785178185,0.0,391561.0606060606
AC8.AX,0.002338258479915968,0.03711870263307341,-0.06666666666666654,575195.2835820896
AGD.AX,-0.07649036845458011,-1.2142469557351137,-0.36666666666666664,263771.46268656716
AAC.AX,0.1248186422535596,1.9814345183259445,0.14563106796116496,499206.6119402985
AAP.AX,0.10391564799710275,1.6496097715707667,0.4999999999999999,49166.57575757576
ABX.AX,0.028972236165753746,0.45991999092009556,0.0,56844.835820895525
AHF.AX,0.08714314566834201,1.383354551413851,0.28571428571428553,443454.74626865675
AEF.AX,0.09700840219925896,1.5399606438178233,0.1678657074340528,425675.4328358209
