,Daily Sharpe - 5d,Annual Sharpe - 5d,Return over 5d (%),Avg volume (5d)
0001.HK,1.0610122636659545,16.84304752589885,0.0873287671232877,11295977.6
0002.HK,-0.05823694611396847,-0.92448285920058,-0.003367003367003367,5820293.0
0003.HK,1.2771898118119356,20.2747597144786,0.04035087719298237,28872037.2
0004.HK,0.6371207078218806,10.113977688156844,0.023758099352051906,3498239.0
0005.HK,0.6871204946497487,10.907699697473536,0.05405405405405406,35760621.4
0006.HK,0.5559958759035529,8.826160905709983,0.03360370799536507,4012637.8
0007.HK,-0.5000666666666667,-7.9383122337181975,-0.14285714285714296,20143600.0
0008.HK,-0.8143528779900456,-12.927451167668316,-0.017699115044247607,13826720.2
0009.HK,-inf,-inf,0.0,805200.0
0010.HK,0.23225924389556166,3.687001194261317,0.008298755186721999,607857.2
0011.HK,0.1860480901719265,2.9534218709606264,0.012008005336891147,2347528.6
0012.HK,0.06299352635927614,0.9999912297218203,0.0029325513196481355,3220816.8
0014.HK,0.9512465095211405,15.10057019826704,0.04482225656877885,1976565.8
0015.HK,,,,
0016.HK,0.0788991543182625,1.2524852458765827,0.002499999999999976,3522270.6
0017.HK,2.1946512200911656,34.83900805731423,0.04960835509138396,5944816.4
0018.HK,-1.2308454906658457,-19.539066423882606,-0.07407407407407414,164400.0
0019.HK,-1.576449081018482,-25.025353337587305,-0.034904013961605584,1834952.2
0021.HK,-0.7765480213647277,-12.327317673782051,-0.10714285714285723,325000.0
0022.HK,-0.5000666666666667,-7.9383122337181975,-0.14285714285714296,253333.33333333334
0023.HK,0.5962816317347273,9.465677453555328,0.07246376811594187,1657971.8
0024.HK,-inf,-inf,,0.0
0025.HK,-0.12805061107626192,-2.032740432825852,-0.005050505050505122,5000.0
0026.HK,-0.661116629037,-10.494901128247472,-0.016915422885572167,10404.4
0027.HK,-0.12432034274517392,-1.973524258860259,-0.024832214765100596,18639217.6
0028.HK,-0.8672906016245167,-13.767811477932376,-0.012903225806451719,147800.0
0029.HK,-0.6435210102688774,-10.215579339698955,-0.0402877697841727,38800.0
0030.HK,0.3456666833617049,5.487288484173477,0.06521739130434775,32472200.0
0031.HK,-1.0627542633390492,-16.870700913412637,-0.14285714285714282,6076016.0
0032.HK,0.16465211595144194,2.613771309888519,0.01085271317829448,3203.6
0033.HK,0.8393795084998534,13.324736610565434,0.40000000000000013,1873452.0
0034.HK,0.004010420999374273,0.0636634597020927,0.0,210600.0
0035.HK,0.05992789691804965,0.951325871041641,0.003571428571428654,967585.8
0036.HK,-0.5001714285714286,-7.939975277399439,-0.055555555555555455,39750.0
0037.HK,-0.23487571051736988,-3.728536314231352,-0.06666666666666654,1130800.0
0038.HK,-2.1145656177120893,-33.5676885323632,-0.297029702970297,54088600.0
0039.HK,-inf,-inf,0.0,6922400.0
0040.HK,0.44109539545695586,7.002172325008771,0.04687500000000004,31200.0
0041.HK,-0.3623588228403753,-5.752267983634468,-0.011090573012939028,396447.0
0042.HK,-0.3892612614831725,-6.179330957494561,-0.08333333333333326,882800.0
0043.HK,0.10187745057277457,1.617254390525018,0.010989010989010999,21281200.0
0045.HK,-0.6064041349635014,-9.626367210688038,-0.04457831325301216,499643.0
0046.HK,0.7415158571215822,11.77119930692766,0.02661596958174916,75600.0
0047.HK,-inf,-inf,0.0,3220000.0
0048.HK,-0.6235340719558794,-9.898296530224265,-0.15217391304347827,840720.0
0050.HK,0.18329681111744825,2.909746669967684,0.004754358161648218,92464.0
0051.HK,-0.5015333333333333,-7.961594845255566,-0.0062111801242236905,11666.666666666666
0052.HK,-0.14658306533636703,-2.326934023761358,-0.0022421524663676653,142940.4
0053.HK,0.17355874263680202,2.755159625268245,0.005863539445628968,6250.0
0055.HK,-0.5004000000000001,-7.943603736340328,-0.023809523809523832,115060.0
0056.HK,,,,
0057.HK,-1.3384632739863846,-21.24744577176769,-0.08764940239043816,431600.0
0058.HK,-inf,-inf,0.0,20000.0
0059.HK,-0.8667980309441549,-13.75999216079222,-0.020618556701030948,4930638.8
0060.HK,-inf,-inf,0.0,3333.3333333333335
0061.HK,-0.8654634109140353,-13.73880572462545,-0.11111111111111106,120255.0
0062.HK,-0.27773287343041103,-4.408872684025476,-0.006622516556291367,94487.8
0063.HK,-0.10613565785088408,-1.6848513354580763,-0.0833333333333333,843400.0
0064.HK,-0.8656795585199037,-13.742236961495108,-0.09523809523809519,2304837.0
0065.HK,-0.1759597955640775,-2.7932751588498927,-0.03846153846153849,265952.0
0066.HK,1.45272613967479,23.061312531974263,0.04525862068965521,4983400.8
0067.HK,-inf,-inf,,0.0
0068.HK,-0.4242639742724441,-6.734981797012757,-0.3025210084033613,94250.0
0069.HK,0.3200074058982841,5.0799600822345825,0.014851485148514755,3358966.4
0070.HK,-inf,-inf,0.0,1132400.0
0071.HK,-1.0460334676731209,-16.6052665110816,-0.015277777777777822,27413.6
0072.HK,-inf,-inf,0.0,1000.0
0073.HK,-0.5001047619047618,-7.938916976875012,-0.09090909090909087,1663157.6
0075.HK,-0.5002793650793651,-7.941688716343747,-0.03409090909090912,21696.2
0076.HK,-inf,-inf,0.0,21679668.8
0077.HK,-0.6359818840861327,-10.095899421805283,-0.08823529411764713,24120.0
0078.HK,-1.3012448897029933,-20.65662223768676,-0.03267973856209153,83573.6
0079.HK,-0.18328099174113233,-2.9094955451539155,-0.06250000000000006,5900.0
0080.HK,0.2381272899988221,3.7801535382878493,0.09999999999999995,5951500.0
0081.HK,-0.9768771876412015,-15.507444599704794,-0.03579418344519019,4571640.2
0082.HK,-0.5964755003852973,-9.468755022973848,-0.1384615384615384,42645080.0
0083.HK,-1.552550161033688,-24.64596974429053,-0.028716216216216204,3454391.0
0084.HK,0.4227139376302635,6.710375728143272,0.25000000000000006,851071.2
0085.HK,-0.9304449848299431,-14.77035623092377,-0.11111111111111108,2338000.0
0086.HK,0.5759232910600611,9.142498814368743,0.0233918128654971,703449.0
0087.HK,-0.5760877262325966,-9.14510914180867,-0.020879120879120826,1786487.8
0088.HK,-0.0007695427624286191,-0.012216112635694715,0.0,48400.0
0089.HK,0.3564693537391054,5.658775560057513,0.014354066985646053,21900.0
0090.HK,-0.49351353271753096,-7.834284457293152,-0.04411764705882357,132000.0
0091.HK,0.01235328305918636,0.19610228909876587,0.0,1001791.6666666666
0092.HK,-inf,-inf,0.0,146287.2
0093.HK,-0.5002857142857143,-7.941789506869884,-0.03333333333333337,19333.333333333332
0094.HK,-0.24721836502660044,-3.924469880330236,-0.07692307692307698,162160.0
0095.HK,-0.5942698604251648,-9.433741574076308,-0.013333333333333246,4293200.0
0096.HK,-inf,-inf,,0.0
0097.HK,-0.252588312623325,-4.0097151556965285,-0.02272727272727275,1386144.6
0098.HK,-1.121513324272378,-17.80347208842031,-0.04216073781291176,55680.0
0099.HK,-0.9085669535239573,-14.423053250855826,-0.0833333333333333,21600.0
0100.HK,-inf,-inf,,0.0
0101.HK,-0.7460651669905627,-11.843417362229424,-0.021582733812949728,5866460.6
0102.HK,-1.0148551811462305,-16.110326556349992,-0.10843373493975901,3712400.0
0103.HK,-0.7973791936199986,-12.658002281614426,-0.10714285714285723,954000.0
0104.HK,-0.5000571428571428,-7.938161047928992,-0.16666666666666663,100000.0
0105.HK,-inf,-inf,,0.0
0106.HK,-0.10938407280747567,-1.7364183242397804,-0.01754385964912263,617600.0
0107.HK,-0.8675573831920783,-13.77204650402524,-0.010695187165775409,1392000.0
0108.HK,0.30550526107929693,4.8497456702260795,0.03571428571428575,1180400.0
0109.HK,-inf,-inf,,0.0
0110.HK,0.7236985823228314,11.4883588379773,0.07843137254901968,727747.2
0111.HK,0.20364279261045712,3.232729113227829,0.02040816326530614,486000.0
0112.HK,-inf,-inf,,0.0
0113.HK,0.37896938754583426,6.0159525237164155,0.012195121951219686,138100.0
0114.HK,-0.5003428571428572,-7.942696621605106,-0.027777777777777804,10000.0
0115.HK,-inf,-inf,,0.0
0116.HK,-0.6509403716345924,-10.333358050062568,-0.03321033210332098,1040787.4
0117.HK,-1.1505172318175374,-18.26389484690192,-0.13725490196078433,254800.0
0118.HK,0.008113927332592462,0.12880460326853593,0.0,85800.0
0119.HK,-1.3999082208322227,-22.22285406382171,-0.02892561983471068,12027395.2
0120.HK,0.3224108383284469,5.1181133892535335,0.042016806722689114,979200.0
0122.HK,-0.2511568244659858,-3.9869909856822074,-0.026315789473684233,454000.0
0123.HK,-2.5542254820630066,-40.54707250753672,-0.05813953488372085,28286172.4
0124.HK,-0.19207859778962968,-3.0491532115761655,-0.024590163934426253,50000.0
0125.HK,-0.32738612427179553,-5.197093605098749,-0.05633802816901398,11600.0
0126.HK,0.34753093918177813,5.516882627854188,0.07843137254901968,2632800.0
0127.HK,0.03287826741901291,0.5219263147763138,0.0024691358024690833,443100.0
0128.HK,-0.7898525191745274,-12.538520028922054,-0.04838709677419359,3955200.0
0129.HK,-0.2503703202876326,-3.974505618915993,-0.018867924528301903,134400.0
0130.HK,-inf,-inf,0.0,75000.0
0131.HK,-0.786882863285802,-12.49137820315602,-0.04827586206896556,21047.6
0132.HK,-0.37908434767662813,-6.017777459217024,-0.03508771929824545,209653.2
0133.HK,-1.4909551231010159,-23.668178830097887,-0.0363636363636364,110374.0
0135.HK,-0.11536060314628975,-1.8312928021169883,-0.009150326797385658,19039362.2
0136.HK,-1.1572692094425558,-18.371079168823947,-0.20075046904315202,91104668.0
0137.HK,0.661974116829342,10.508513324952338,0.06249999999999992,203000.0
0138.HK,-0.8659356772752472,-13.746302720691538,-0.07407407407407414,11624.4
0139.HK,-0.5000285714285715,-7.937707490561384,-0.3333333333333333,59243476.0
0141.HK,-0.7244429320679655,-11.500175023861775,-0.12121212121212131,75000.0
0142.HK,-0.23281451543451767,-3.695815856674455,-0.016666666666666684,7364642.2
0143.HK,-inf,-inf,0.0,1102800.0
0144.HK,-0.4227081565294022,-6.710283956012172,-0.02588996763754048,7485937.0
0145.HK,0.01643978911271628,0.2609735615915669,0.0,32166.5
0146.HK,-0.5006285714285714,-7.947232195281216,-0.015151515151515164,0.0
0147.HK,0.49992380952380955,7.936044446880143,0.12499999999999993,297500.0
0148.HK,-1.4416480640991378,-22.885453534104137,-0.10141206675224654,2744066.4
0149.HK,0.022594087997275292,0.358670027646599,0.0,35670448.6
0150.HK,-0.4489887474312374,-7.1274754030166685,-0.140495867768595,3725160.0
0151.HK,0.7196657616733876,11.424339794853974,0.04363001745200698,18843849.4
0152.HK,-0.43763267386749244,-6.947203323897724,-0.014285714285714263,4728214.8
0153.HK,-inf,-inf,,0.0
0154.HK,-0.2917304793261204,-4.631077788927507,-0.05172413793103434,455000.0
0155.HK,-inf,-inf,,0.0
0156.HK,-inf,-inf,0.0,315000.0
0157.HK,-0.7810421798520173,-12.398660228041324,-0.041666666666666706,172000.0
0158.HK,-0.7865188639793923,-12.485599893303059,-0.018633540372670808,500.0
0159.HK,-inf,-inf,0.0,363400.0
0160.HK,-0.16438383398436665,-2.6095124656917728,-0.010600706713781006,69524.6
0162.HK,-0.8655458617076525,-13.740114590397315,-0.1052631578947368,910800.0
0163.HK,0.2623487159488697,4.1646567550670035,0.009259259259259267,846000.0
0164.HK,-inf,-inf,,0.0
0165.HK,-1.3381308416848823,-21.24216857258245,-0.030571992110453697,2556225.8
0166.HK,0.040736045407201736,0.6466646732621442,0.0,6326810.0
0167.HK,-0.5000571428571429,-7.938161047928994,-0.1666666666666666,11492800.0
0168.HK,-0.62607023880395,-9.938556930804433,-0.05850654349499621,4272522.2
0169.HK,-0.13661341602051402,-2.168670747271724,-0.04878048780487796,529000.0
0171.HK,0.003931873809121975,0.06241656171254995,0.0,2604400.0
0172.HK,-inf,-inf,,0.0
0173.HK,-0.27535854901783263,-4.371181452460644,-0.009925558312655096,2506436.2
