,Daily Sharpe - 1d,Annual Sharpe - 1d,Return over 1d (%),Avg volume (1d)
IP,,,,1823980.0
IPG,,,,2772378.0
IFF,,,,1094663.0
INTU,,,,850289.0
ISRG,,,,210743.0
IVZ,,,,2889784.0
IPGP,,,,91039.0
IQV,,,,518597.0
IRM,,,,1421784.0
JKHY,,,,178101.0
J,,,,331715.0
JBHT,,,,250737.0
SJM,,,,430882.0
JNJ,,,,3685229.0
JCI,,,,2314669.0
JPM,,,,8424690.0
JNPR,,,,2161394.0
KSU,,,,286175.0
K,,,,1796786.0
KEY,,,,7113948.0
KEYS,,,,413939.0
KMB,,,,1369444.0
KIM,,,,2437744.0
KMI,,,,9204240.0
KLAC,,,,670258.0
KSS,,,,2828957.0
KHC,,,,3122724.0
KR,,,,7664707.0
LB,,,,2311916.0
LHX,,,,454293.0
LH,,,,297419.0
LRCX,,,,631261.0
LW,,,,568628.0
LVS,,,,5483629.0
LEG,,,,535178.0
LDOS,,,,497996.0
LEN,,,,1140683.0
LLY,,,,9628410.0
LNC,,,,1653808.0
LIN,,,,969633.0
LYV,,,,1215917.0
LKQ,,,,1106606.0
LMT,,,,1487208.0
L,,,,642311.0
LOW,,,,2389593.0
LUMN,,,,6420530.0
LYB,,,,1020044.0
MTB,,,,428336.0
MRO,,,,14817179.0
MPC,,,,3703095.0
MKTX,,,,140336.0
MAR,,,,1355210.0
MMC,,,,602814.0
MLM,,,,183233.0
MAS,,,,2036156.0
MA,,,,2118227.0
MKC,,,,723584.0
MXIM,,,,838825.0
MCD,,,,3058860.0
MCK,,,,603462.0
MDT,,,,1785935.0
MRK,,,,11941108.0
MET,,,,2790532.0
MTD,,,,49767.0
MGM,,,,10707904.0
MCHP,,,,820035.0
MU,,,,11013951.0
MSFT,,,,17412937.0
MAA,,,,404305.0
MHK,,,,273265.0
TAP,,,,1959349.0
MDLZ,,,,4079859.0
MNST,,,,1013105.0
MCO,,,,276353.0
MS,,,,5595615.0
MOS,,,,4549397.0
MSI,,,,267737.0
MSCI,,,,166056.0
MYL,,,,
NDAQ,,,,303041.0
NOV,,,,2279137.0
NTAP,,,,854783.0
NFLX,,,,2383589.0
NWL,,,,1410533.0
NEM,,,,8615275.0
NWSA,,,,2353807.0
NWS,,,,330718.0
NEE,,,,4833110.0
NLSN,,,,1272587.0
NKE,,,,3749932.0
NI,,,,2516223.0
NBL,,,,
NSC,,,,558654.0
NTRS,,,,702620.0
NOC,,,,587810.0
NLOK,,,,1547042.0
NCLH,,,,22940176.0
NRG,,,,2401171.0
NUE,,,,2040094.0
NVDA,,,,3848431.0
NVR,,,,9550.0
ORLY,,,,233322.0
OXY,,,,15996486.0
ODFL,,,,273312.0
OMC,,,,1187144.0
OKE,,,,1634105.0
ORCL,,,,6214202.0
OTIS,,,,859197.0
PCAR,,,,678582.0
PKG,,,,700804.0
PH,,,,538114.0
PAYX,,,,790997.0
PAYC,,,,147821.0
PYPL,,,,4416809.0
PNR,,,,571201.0
PBCT,,,,2628041.0
PEP,,,,3236595.0
PKI,,,,742165.0
PRGO,,,,525651.0
PFE,,,,15340948.0
PM,,,,2615167.0
PSX,,,,1357505.0
PNW,,,,538083.0
PXD,,,,1235499.0
PNC,,,,864870.0
PPG,,,,671526.0
PPL,,,,3100712.0
PFG,,,,746852.0
PG,,,,4483587.0
PGR,,,,967139.0
