,14D.AX,1ST.AX,3PL.AX
14D.AX,54.083430124632706,-1.668286296096227,-6.358253085420895
1ST.AX,-1.668286296096227,48.30917874396135,-1.8954979628081867
3PL.AX,-6.358253085420895,-1.8954979628081867,10.738405010575086
