,Daily Sharpe - 1mo,Annual Sharpe - 1mo,Return over 1mo (%),Avg volume (1mo)
14D.AX,-0.33791896611281336,-5.364297285759402,-0.28571428571428575,257647.2380952381
1ST.AX,0.04358277803872703,0.6918551528147946,0.0,816957.380952381
3PL.AX,-0.23475946852704663,-3.726691029841561,-0.07751937984496131,103173.14285714286
4DS.AX,-0.15811169204444966,-2.509945299127461,-0.20000000000000004,5813316.666666667
5GN.AX,-0.2606603487354714,-4.137854756456561,-0.15894039735099338,508044.09523809527
88E.AX,-inf,-inf,0.0,75760109.23809524
8CO.AX,-0.030702884123575094,-0.48739317554047806,-0.055555555555555455,650383.380952381
8IH.AX,0.08755623531626276,1.389912146279292,0.058823529411764594,133428.2857142857
8EC.AX,-inf,-inf,0.0,0.0
8VI.AX,0.07442226929247817,1.1814168993178569,0.062222222222222276,9435.714285714286
9SP.AX,0.08579122036395191,1.361893402534542,0.0,17749137.85714286
ACB.AX,-inf,-inf,0.0,798500.1904761905
A2B.AX,-0.18213546938996628,-2.8913109415792073,-0.06034482758620676,41281.19047619047
ABP.AX,-0.02156128661582816,-0.3422748139924006,-0.007434944237918222,1022322.4761904762
ABL.AX,,,,0.0
AEG.AX,-0.21155334804769235,-3.3583052877437143,-0.11382113821138204,71525.28571428571
ABT.AX,,,,
ACS.AX,0.4616758052081571,7.328876201497693,3.4999999999999996,26159.380952380954
ACQ.AX,-0.03120958998158001,-0.49543688166932176,-0.012195121951219388,77006.76190476191
ACF.AX,-0.2847743196868475,-4.520652178014022,-0.1052631578947368,509724.71428571426
ACR.AX,-0.05851568408960585,-0.9289076873874965,-0.058823529411764754,394533.1904761905
ACW.AX,-inf,-inf,0.0,15449102.476190476
ACU.AX,0.026582488653398753,0.42198392523653616,0.0,238117.09523809524
AD1.AX,-0.05558469341433807,-0.8823796528566495,-0.20000000000000004,1308423.6666666667
ADA.AX,0.012942179535292248,0.2054507308411967,0.0,71972.80952380953
ADH.AX,-0.10346128597437278,-1.6423969980667519,-0.07317073170731704,1461307.6666666667
1AD.AX,0.17985796092575432,2.8551566155483106,0.21428571428571425,1030908.9047619047
ADD.AX,-0.042729693704934596,-0.6783128588473146,-0.1666666666666666,1849605.8095238095
ABC.AX,0.024202128138422718,0.3841968735167108,0.006211180124223607,946639.5714285715
ADR.AX,-inf,-inf,0.0,510076.0
AHZ.AX,,,,
ADY.AX,0.25864321235560583,4.105833709126809,1.0,1819374.1904761905
ADT.AX,-0.05644453285414464,-0.8960291808076893,-0.053097345132743216,205420.47619047618
ADJ.AX,,,,
ABV.AX,0.149164210838311,2.3679084383362583,0.25000000000000006,322629.7619047619
ADX.AX,-inf,-inf,0.0,39458006.85714286
AER.AX,-0.08271138401747606,-1.3130025162252248,-0.1666666666666666,90232.42857142857
AEI.AX,-0.44021864085403234,-6.988254277167769,-0.2941176470588236,190437.90476190476
AFL.AX,0.12354144681797483,1.9611596693368398,0.06250000000000006,82699.47619047618
AEB.AX,-inf,-inf,0.0,0.0
AFR.AX,-inf,-inf,0.0,457362.3333333333
A1G.AX,0.09998170721946134,1.5871603977501954,0.09523809523809533,381349.5238095238
AFT.AX,,,,
AFP.AX,-0.1890710672505438,-3.0014101443750456,-0.11479028697571754,3939.6666666666665
AGL.AX,-0.40516571034156834,-6.431806256007724,-0.14247311827956988,3582451.8571428573
AGJ.AX,-inf,-inf,0.0,0.0
AGR.AX,0.1050665945584039,1.6678804818119335,0.11111111111111122,366772.28571428574
AHL.AX,,,,
A1M.AX,0.012501076765711163,0.19844844145559642,-0.03125000000000003,61486.90476190476
AGI.AX,0.10051868349339399,1.5956846318348028,0.10000000000000009,492434.1904761905
A40.AX,,,,
AHQ.AX,-0.06875831241413329,-1.091504371297691,-0.11111111111111106,5349168.80952381
AGS.AX,-0.12626362213329206,-2.004372862793529,-0.21739130434782614,98924.33333333333
AGE.AX,-0.223649389520979,-3.550323993263553,-0.5,10097230.904761905
A4N.AX,0.23054037293421437,3.659714963664104,0.24999999999999994,1184022.0952380951
1AG.AX,-0.22371327717747894,-3.5513381783692264,-0.20000000000000004,2000172.0952380951
AGH.AX,-0.05992109269589928,-0.9512178573635903,-0.07843137254901968,1503379.857142857
3DA.AX,-0.2541460988749509,-4.034444245802114,-0.21794871794871798,774127.5714285715
ABR.AX,0.07627470872449776,1.2108234636534585,0.04838709677419347,803483.0476190476
ADN.AX,0.022463438539246452,0.3565960317973809,0.0,5699638.285714285
AAR.AX,-0.24506715105420993,-3.89032041720324,-0.25,784550.9523809524
AGG.AX,-0.1031543349275505,-1.6375243012593756,-0.05102040816326528,20533.285714285714
ADO.AX,0.07551861741775613,1.1988208862568812,0.058823529411764594,9677300.047619049
AGX1.AX,0.08435951184472028,1.3391657343836252,0.011784511784511682,4119.714285714285
AHX.AX,0.13529936796770564,2.147810881120606,0.08064516129032265,83393.57142857143
ADI.AX,0.11020743313571443,1.749488764247278,0.027681660899654004,313073.8095238095
ADV.AX,-inf,-inf,0.0,9441948.142857144
AGY.AX,-0.38585265796768886,-6.125221054174619,-0.411764705882353,11156952.19047619
AHK.AX,,,,
AAJ.AX,-0.16662051945923745,-2.645018746857244,-0.3333333333333333,326623.04761904763
AHY.AX,0.19134864075166186,3.0375655028348203,0.07462686567164169,1070376.9047619049
AFA.AX,-inf,-inf,0.0,738.047619047619
AHN.AX,,,,
AIA.AX,-0.07007498101653711,-1.1124058373839762,-0.03382352941176464,675020.2857142857
