,Daily Sharpe - 5d,Annual Sharpe - 5d,Return over 5d (%),Avg volume (5d)
0001.HK,1.4058226755069418,22.316743121080933,0.04757785467128028,8906085.2
0002.HK,-0.11391942424298136,-1.8084147962795476,-0.00608930987821384,5133723.8
0003.HK,1.0358259949983342,16.44322790580976,0.031746031746031696,24282596.8
0004.HK,0.5489082701444367,8.713648652333038,0.0174102285092492,2791526.0
0005.HK,0.7258371163741699,11.522307013597812,0.059933407325194296,32458385.2
0006.HK,0.8087395494744403,12.83834233999072,0.050827423167848836,3595889.6
0007.HK,-0.7702240602196062,-12.226927902837092,-0.2,21250000.0
0008.HK,-0.45273294387130913,-7.186912678857888,-0.013363028953229508,12465081.8
0009.HK,-0.5000761904761905,-7.938463419507401,-0.12499999999999993,1009200.0
0010.HK,0.07140142285415801,1.1334624487695948,0.002083333333333289,649121.4
0011.HK,0.20428529028533185,3.2429284476217632,0.013596193065941536,2255242.0
0012.HK,0.20546080103295458,3.2615891022319237,0.01353383458646625,2986148.4
0014.HK,0.813432076242935,12.912833893090424,0.03115264797507788,1719583.0
0015.HK,,,,
0016.HK,-0.10410683017079292,-1.6526446944909243,-0.002516778523489909,3359625.4
0017.HK,2.115495956912361,33.582457209316324,0.05179282868525904,6506251.2
0018.HK,-0.7800553572765596,-12.382994905304493,-0.0555555555555556,175200.0
0019.HK,-0.8510251041447666,-13.509604710239376,-0.02802101576182139,1850842.4
0021.HK,-0.7765480213647277,-12.327317673782051,-0.10714285714285723,424000.0
0022.HK,-0.17976460636109484,-2.8536746577772605,-0.07692307692307698,365000.0
0023.HK,0.3888324588352074,6.172523926486311,0.03156708004509596,1197018.2
0024.HK,-inf,-inf,,0.0
0025.HK,-0.7193001662955446,-11.418536148152493,-0.019095477386934626,6550.0
0026.HK,-0.4033504894474638,-6.402990517645031,-0.010447761194029823,13084.4
0027.HK,0.02392678294291418,0.3798259040446385,0.0007225433526011149,17644683.6
0028.HK,-0.5014761904761905,-7.960687730520345,-0.006451612903225859,125200.0
0029.HK,-0.3137884603602473,-4.981237382370383,-0.026354319180087807,78800.0
0030.HK,0.3456666833617049,5.487288484173477,0.06521739130434775,25960600.0
0031.HK,-0.6786608252393774,-10.773406608871559,-0.11594202898550719,5782024.2
0032.HK,0.0968936727332478,1.5381393700071224,0.006201550387596904,3343.4
0033.HK,0.5392580389504895,8.560455981332266,0.2755102040816327,1678296.0
0034.HK,0.32424934118371107,5.1472987172918,0.011363636363636322,207400.0
0035.HK,-0.24086680466061344,-3.82364198533654,-0.010791366906474751,946262.6
0036.HK,-0.5001714285714286,-7.939975277399439,-0.055555555555555455,457500.0
0037.HK,-0.45488914988929635,-7.2211413882519775,-0.12499999999999993,3636800.0
0038.HK,-0.3498580443157735,-5.553824276609708,-0.14879649890590813,58803800.0
0039.HK,-inf,-inf,0.0,8003200.0
0040.HK,-0.252500526343431,-4.008321591705791,-0.015384615384615398,34200.0
0041.HK,0.07150816792957893,1.1351569743090622,0.0018552875695733103,356509.0
0042.HK,-0.4475134942503498,-7.104056484791755,-0.09459459459459453,993200.0
0043.HK,-0.09071626511443241,-1.4400760641683552,-0.010989010989010999,27856800.0
0045.HK,-0.20560808660773913,-3.2639271882474463,-0.023602484472049736,398748.4
0046.HK,1.0048093823376332,15.950854444138768,0.06299212598425202,65600.0
0047.HK,-inf,-inf,0.0,4703200.0
0048.HK,-0.6007290595717193,-9.53627818173885,-0.14141414141414144,1279680.0
0050.HK,-0.21068021725047564,-3.3444447660349126,-0.003174603174603107,103464.0
0051.HK,0.0009716540098906099,0.015424529223415487,0.0,11666.666666666666
0052.HK,-0.2887547835178475,-4.583840082411102,-0.004474272930648674,184540.4
0053.HK,0.10901235047173508,1.7305174150969544,0.0037234042553190884,5000.0
0055.HK,-0.8662560006315321,-13.751387696330669,-0.046511627906976785,281250.0
0056.HK,,,,
0057.HK,-1.382279556187839,-21.943007688250532,-0.09615384615384615,393200.0
0058.HK,-inf,-inf,0.0,20000.0
0059.HK,-0.8667980309441549,-13.75999216079222,-0.020618556701030948,4978238.8
0060.HK,0.4996619047619047,7.93188683767704,0.028169014084507067,2500.0
0061.HK,-0.2504108529464686,-3.97514905492753,-0.058823529411764754,113524.2
0062.HK,-0.06553874027723157,-1.0403952480840428,-0.0013227513227512947,89287.8
